method,decay,m,trial,estimate,true_trace,relative_error
Hutch++,0.5,20,13,55.13424413212319,61.80100876524323,0.10787468952884495
NA-Hutch++,0.5,20,13,63.51176608380657,61.80100876524323,0.027681705408107594
Gaussian-Hutch++,0.5,20,13,60.68460717862571,61.80100876524323,0.018064455725282313
Hutchinson,0.5,20,14,61.55646859909342,61.80100876524323,0.0039568960286509094
Hutch++,0.5,20,14,55.380200483103344,61.80100876524323,0.10389487826209946
NA-Hutch++,0.5,20,14,64.1094200159207,61.80100876524323,0.03735232315456506
Gaussian-Hutch++,0.5,20,14,62.16370587824128,61.80100876524323,0.005868789526976607
Hutchinson,0.5,20,15,61.98030061338983,61.80100876524323,0.0029011152362844743
Hutch++,0.5,20,15,54.986226692822726,61.80100876524323,0.1102697546298488
NA-Hutch++,0.5,20,15,60.32099526824564,61.80100876524323,0.023948047557274657
Gaussian-Hutch++,0.5,20,15,62.19370854623258,61.80100876524323,0.006354261667168773
Hutchinson,0.5,20,16,62.196029572853305,61.80100876524323,0.006391818119192782
Hutch++,0.5,20,16,55.602254911638596,61.80100876524323,0.10030182318141712
NA-Hutch++,0.5,20,16,66.75419517993188,61.80100876524323,0.0801473392368688
Gaussian-Hutch++,0.5,20,16,61.25922016651788,61.80100876524323,0.00876666270583685
Hutchinson,0.5,20,17,61.53266364570628,61.80100876524323,0.004342083161721295
Hutch++,0.5,20,17,55.28802746429968,61.80100876524323,0.10538632671326943
NA-Hutch++,0.5,20,17,61.196620121326625,61.80100876524323,0.009779591886799659
Gaussian-Hutch++,0.5,20,17,62.410558335447064,61.80100876524323,0.009863100657778285
Hutchinson,0.5,20,18,61.237201303047414,61.80100876524323,0.009122949179316673
Hutch++,0.5,20,18,57.092556441472816,61.80100876524323,0.07618730531820123
NA-Hutch++,0.5,20,18,62.71311661702074,61.80100876524323,0.014758785819212611
Gaussian-Hutch++,0.5,20,18,61.521246823369594,61.80100876524323,0.0045268183717896695
