orientation,trial,method,q,r,ell,query_count,signal_rank,exact_signal_rank,signal_sigma_min,signal_sigma_max,sketch_sigma_min,projection_error_op,projection_error_fro,largest_angle_degrees,orthogonality_error,energy_gaussian,energy_rademacher,risk_gaussian,risk_rademacher,estimate,squared_error,squared_error_over_risk,detected_knee,gap,contrast,ritz_values
25,5,gated,8,8,44,60,5,,1.61536193023985,3.9541935649528024,0.007527848527980805,0.006142599841776252,0.009663539472319495,0.35194725944676286,7.651225355772662e-16,9.21890011793261e-05,7.2458139713677174e-06,4.190409144514822e-06,3.293551805167144e-07,5.095032879176747,1.0810402638811407e-09,0.003282293183259278,5.0,6.9077175844703795,69077.17584470379,"[0.9999930814481327, 0.9999926283538063, 0.9999840269066235, 0.9999746664815804, 0.9999623061987165, 0.0010000000000000445, 0.0009999999999999126, 0.0009999999999999079]"
25,6,hpp,20,20,20,60,5,,1.931958106792942,5.838814720594909,0.0065692638296428645,0.0045083007960787045,0.006848728335632016,0.25830748340277737,5.605640253201959e-16,8.009440962340141e-05,1.5865959349482417e-05,8.009440962340141e-06,1.5865959349482418e-06,5.0933250215231505,2.8055528978934436e-06,1.7682844359392405,,,,"[0.9999978012131384, 0.9999964295499567, 0.9999944772007803, 0.9999847383126819, 0.999979695548708, 0.001000000000000242, 0.0010000000000001375, 0.0010000000000000724, 0.0010000000000000638, 0.0010000000000000384, 0.0010000000000000382, 0.0010000000000000254, 0.0010000000000000122, 0.0009999999999999911, 0.000999999999999974, 0.0009999999999999601, 0.0009999999999999556, 0.0009999999999999413, 0.000999999999999914, 0.0009999999999998606]"
25,6,gated,8,8,44,60,5,,1.3377456942031765,5.3098119548217,0.008509248091024655,0.007739861704340311,0.01003539098530452,0.443465837419558,7.7158067109771e-16,9.22053917956838e-05,7.28173159069853e-06,4.191154172531082e-06,3.3098779957720593e-07,5.095422333229121,1.7836535642361332e-07,0.5388880093207422,5.0,6.907695431637452,69076.95431637453,"[0.9999973795030891, 0.999992816648044, 0.9999898064870538, 0.9999792345523992, 0.9999401544462564, 0.001000000000000125, 0.000999999999999999, 0.0009999999999998528]"
25,7,hpp,20,20,20,60,5,,3.358091493382047,6.483338689121797,0.005654157850022773,0.0027882816625898776,0.004621162098969878,0.15975697836607047,7.110044603060167e-16,8.004278517727279e-05,1.585543861814209e-05,8.004278517727278e-06,1.5855438618142092e-06,5.094053949079669,8.950123438506428e-07,0.5644828663563761,,,,"[0.9999985410027865, 0.9999974660178087, 0.9999964183546501, 0.9999940075808631, 0.9999922332598846, 0.0010000000000002778, 0.0010000000000001408, 0.0010000000000000662, 0.0010000000000000653, 0.001000000000000027, 0.0010000000000000256, 0.0010000000000000174, 0.001000000000000005, 0.0009999999999999918, 0.0009999999999999829, 0.0009999999999999642, 0.0009999999999999484, 0.0009999999999999426, 0.0009999999999999033, 0.000999999999999841]"
25,7,gated,8,8,44,60,5,,0.6985874568981529,4.935489086164502,0.009019464202086486,0.0138129311987076,0.0178555794063911,0.791447829405463,4.1662403317105564e-16,9.268267031415445e-05,7.317263666572069e-06,4.212848650643384e-06,3.3260289393509405e-07,5.094684903053067,9.92860859635537e-08,0.29851239352995207,5.0,6.907564654543149,69075.64654543149,"[0.9999966087673484, 0.9999891410444256, 0.9999802348562006, 0.9999061187090362, 0.9998093937287683, 0.0010000000000000724, 0.0010000000000000588, 0.0009999999999998426]"
25,8,hpp,20,20,20,60,5,,3.2321850171076654,6.658022847198604,0.006273708447482613,0.002725787026831225,0.0045442459224973525,0.1561762858854352,8.431802092734331e-16,8.004136743703992e-05,1.5867187509490163e-05,8.004136743703991e-06,1.5867187509490162e-06,5.091804600607597,1.0210577276938158e-05,6.4350265419320305,,,,"[0.9999984706610151, 0.9999972394424183, 0.9999968802447375, 0.9999942026159959, 0.9999925775149995, 0.0010000000000001267, 0.0010000000000001102, 0.0010000000000000616, 0.0010000000000000443, 0.0010000000000000406, 0.0010000000000000323, 0.0010000000000000159, 0.0009999999999999985, 0.0009999999999999842, 0.0009999999999999731, 0.0009999999999999588, 0.000999999999999949, 0.000999999999999936, 0.0009999999999999003, 0.000999999999999858]"
25,8,gated,8,8,44,60,5,,1.4835018253531376,4.067220519340364,0.008832229741746972,0.007045352171423378,0.009943368404131792,0.4036722841655254,7.109136772116634e-16,9.220109106987169e-05,7.270278770068637e-06,4.1909586849941675e-06,3.304672168213017e-07,5.094818665904308,3.288205425882025e-08,0.09950171328674043,5.0,6.907705690402356,69077.05690402356,"[0.9999955602927701, 0.9999943165547671, 0.999992170979679, 0.9999687678183696, 0.9999504126497681, 0.0010000000000000564, 0.00099999999999999, 0.0009999999999999647]"
25,9,hpp,20,20,20,60,5,,2.5792722254998806,5.165499813237591,0.006571014530843922,0.0037051550434772673,0.00624021153373332,0.2122902321609517,6.038055771308319e-16,8.007818181900751e-05,1.5838953950289706e-05,8.007818181900751e-06,1.5838953950289706e-06,5.095426363275909,1.8178564304759617e-07,0.1147712428599309,,,,"[0.9999969312947998, 0.9999959005027739, 0.9999921253025007, 0.9999898560459033, 0.9999862855542779, 0.0010000000000000915, 0.0010000000000000737, 0.0010000000000000536, 0.0010000000000000362, 0.0010000000000000182, 0.0010000000000000152, 0.0010000000000000015, 0.0009999999999999987, 0.0009999999999999842, 0.0009999999999999697, 0.0009999999999999514, 0.0009999999999999436, 0.0009999999999999079, 0.0009999999999998283, 0.0009999999999997897]"
25,9,gated,8,8,44,60,5,,1.1260468447557042,4.792240730794132,0.007969614608428289,0.008822381827817659,0.0110761497898717,0.5054918015751082,4.917878784412762e-16,9.225205780728433e-05,7.284815370480019e-06,4.193275354876561e-06,3.3112797138545544e-07,5.095571948152674,3.2712468935282215e-07,0.9879101665260009,5.0,6.907677519372164,69076.77519372164,"[0.9999965368379127, 0.9999944966937331, 0.9999923421467438, 0.9999718224952332, 0.9999222434133056, 0.0010000000000000796, 0.001000000000000045, 0.0009999999999999855]"
26,0,hpp,20,20,20,60,5,,2.8385815613028647,5.767890374514754,0.006074268337237379,0.003471086824862125,0.005541031968817673,0.19887902475321897,5.905407966159849e-16,8.006158882453301e-05,1.582870790815749e-05,8.006158882453302e-06,1.5828707908157489e-06,5.094654722160242,1.192167866246669e-07,0.07531681506563609,,,,"[0.9999974532466218, 0.9999966429238115, 0.9999941218194346, 0.9999931460731901, 0.999987963604699, 0.001000000000000247, 0.0010000000000001796, 0.0010000000000000638, 0.0010000000000000518, 0.0010000000000000356, 0.0010000000000000213, 0.0010000000000000113, 0.0009999999999999937, 0.0009999999999999922, 0.0009999999999999844, 0.0009999999999999738, 0.0009999999999999527, 0.0009999999999999397, 0.000999999999999931, 0.000999999999999921]"
