orientation_group,method,paths,mse,median_squared_error,mean_conditional_risk,median_conditional_risk,maximum_conditional_risk,worst_error_fraction,worst_risk_fraction,signal_deficient_paths
haar,gated,300,2.83943321303811e-07,1.262092850352784e-07,3.337031944943058e-07,3.3072269912589195e-07,7.247735525061438e-07,0.02476985417366098,0.007239702470778626,0
haar,hpp,300,1.6728132142671935e-06,8.55886580181196e-07,1.5842488245011918e-06,1.5843672680843953e-06,1.5909281001301756e-06,0.02992957986060466,0.003347386840429116,0
coordinate,gated,10,0.0033039424446298345,1.3352803429355843e-07,0.002272862565832337,1.309110365211466e-07,0.0227274451828526,0.9999423366308854,0.9999480621710913,1
coordinate,hpp,10,7.209998140112758e-07,2.746979789648813e-07,1.254788008641139e-06,1.255168164072544e-06,1.2561765387055826e-06,0.4385454874942781,0.10011065853792683,0
