eta,budget,s,pair,estimator,epsilon,truth_ties,abstention_rate,false_safe,false_safe_eligible_by_rank,false_rejection,false_rejection_eligible_by_rank,better_acceptance,better_acceptance_eligible_by_rank,coverage,coverage_eligible_by_rank
1e-06,160,16,primary,sample_variance,0.3333333333333333,0,0.9401833333333334,0.0001343512673299,"{""15"": 182, ""30"": 180, ""5"": 188}",0.0051574074074074,"{""15"": 18, ""30"": 20, ""5"": 12}",0.5209907407407407,"{""15"": 18, ""30"": 20, ""5"": 12}",0.0598166666666666,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-06,160,16,primary,mom_w1,0.3333333333333333,0,0.805,0.0469713973969293,"{""15"": 182, ""30"": 180, ""5"": 188}",0.0687962962962962,"{""15"": 18, ""30"": 20, ""5"": 12}",0.5184537037037037,"{""15"": 18, ""30"": 20, ""5"": 12}",0.1949999999999999,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-06,160,16,primary,mom_w2,0.3333333333333333,0,0.8814833333333333,0.0154776431212601,"{""15"": 182, ""30"": 180, ""5"": 188}",0.037787037037037,"{""15"": 18, ""30"": 20, ""5"": 12}",0.5245555555555556,"{""15"": 18, ""30"": 20, ""5"": 12}",0.1185166666666666,"{""15"": 200, ""30"": 200, ""5"": 200}"
