sample_size_s,independent_pairs_n,delta,norm_envelope_M0,ell_candidate,ell_baseline,variance_bound,one_sided_radius,nonvacuous,phase2b_data_only_radius
4,2,0.01,0.001,70,80,1.1766581632653065e-13,2.4133913706987656e-06,True,inf
4,2,0.01,0.001,80,100,8.3025e-14,2.027248751386963e-06,True,inf
4,2,0.01,0.001,100,100,6.560000000000002e-14,1.801998890121745e-06,True,inf
4,2,0.01,0.005,70,80,7.354113520408164e-11,6.033478426746914e-05,True,inf
4,2,0.01,0.005,80,100,5.1890624999999994e-11,5.068121878467407e-05,True,inf
4,2,0.01,0.005,100,100,4.1e-11,4.504997225304362e-05,True,inf
4,2,0.01,0.01,70,80,1.1766581632653062e-09,0.00024133913706987655,True,inf
4,2,0.01,0.01,80,100,8.302499999999999e-10,0.00020272487513869628,True,inf
4,2,0.01,0.01,100,100,6.56e-10,0.00018019988901217448,True,inf
4,2,0.01,0.05,70,80,7.354113520408166e-07,0.006033478426746914,True,inf
4,2,0.01,0.05,80,100,5.1890625e-07,0.005068121878467407,True,inf
4,2,0.01,0.05,100,100,4.1000000000000004e-07,0.004504997225304362,True,inf
4,2,0.01,0.1,70,80,1.1766581632653065e-05,0.024133913706987656,True,inf
4,2,0.01,0.1,80,100,8.3025e-06,0.02027248751386963,True,inf
4,2,0.01,0.1,100,100,6.560000000000001e-06,0.01801998890121745,True,inf
4,2,0.01,0.5,70,80,0.007354113520408165,0.6033478426746914,True,inf
4,2,0.01,0.5,80,100,0.0051890625,0.5068121878467408,True,inf
4,2,0.01,0.5,100,100,0.0041,0.45049972253043624,True,inf
4,2,0.01,1.0,70,80,0.11766581632653064,2.4133913706987657,True,inf
4,2,0.01,1.0,80,100,0.083025,2.027248751386963,True,inf
4,2,0.01,1.0,100,100,0.0656,1.801998890121745,True,inf
4,2,0.05,0.001,70,80,1.1766581632653065e-13,1.0572725547852082e-06,True,inf
4,2,0.05,0.001,80,100,8.3025e-14,8.881089460195747e-07,True,inf
4,2,0.05,0.001,100,100,6.560000000000002e-14,7.89430174239622e-07,True,inf
4,2,0.05,0.005,70,80,7.354113520408164e-11,2.6431813869630203e-05,True,inf
4,2,0.05,0.005,80,100,5.1890624999999994e-11,2.2202723650489367e-05,True,inf
4,2,0.05,0.005,100,100,4.1e-11,1.973575435599055e-05,True,inf
4,2,0.05,0.01,70,80,1.1766581632653062e-09,0.00010572725547852081,True,inf
4,2,0.05,0.01,80,100,8.302499999999999e-10,8.881089460195747e-05,True,inf
4,2,0.05,0.01,100,100,6.56e-10,7.89430174239622e-05,True,inf
4,2,0.05,0.05,70,80,7.354113520408166e-07,0.0026431813869630203,True,inf
4,2,0.05,0.05,80,100,5.1890625e-07,0.002220272365048937,True,inf
4,2,0.05,0.05,100,100,4.1000000000000004e-07,0.001973575435599055,True,inf
4,2,0.05,0.1,70,80,1.1766581632653065e-05,0.010572725547852081,True,inf
4,2,0.05,0.1,80,100,8.3025e-06,0.008881089460195748,True,inf
4,2,0.05,0.1,100,100,6.560000000000001e-06,0.00789430174239622,True,inf
4,2,0.05,0.5,70,80,0.007354113520408165,0.26431813869630205,True,inf
4,2,0.05,0.5,80,100,0.0051890625,0.22202723650489367,True,inf
4,2,0.05,0.5,100,100,0.0041,0.1973575435599055,True,inf
4,2,0.05,1.0,70,80,0.11766581632653064,1.0572725547852082,True,inf
4,2,0.05,1.0,80,100,0.083025,0.8881089460195747,True,inf
4,2,0.05,1.0,100,100,0.0656,0.789430174239622,True,inf
4,2,0.1,0.001,70,80,1.1766581632653065e-13,7.276648771717568e-07,True,inf
4,2,0.1,0.001,80,100,8.3025e-14,6.112384968242757e-07,True,inf
4,2,0.1,0.001,100,100,6.560000000000002e-14,5.433231082882451e-07,True,inf
4,2,0.1,0.005,70,80,7.354113520408164e-11,1.819162192929392e-05,True,inf
4,2,0.1,0.005,80,100,5.1890624999999994e-11,1.528096242060689e-05,True,inf
4,2,0.1,0.005,100,100,4.1e-11,1.3583077707206125e-05,True,inf
4,2,0.1,0.01,70,80,1.1766581632653062e-09,7.276648771717567e-05,True,inf
4,2,0.1,0.01,80,100,8.302499999999999e-10,6.112384968242756e-05,True,inf
4,2,0.1,0.01,100,100,6.56e-10,5.43323108288245e-05,True,inf
4,2,0.1,0.05,70,80,7.354113520408166e-07,0.0018191621929293921,True,inf
4,2,0.1,0.05,80,100,5.1890625e-07,0.001528096242060689,True,inf
4,2,0.1,0.05,100,100,4.1000000000000004e-07,0.0013583077707206126,True,inf
4,2,0.1,0.1,70,80,1.1766581632653065e-05,0.0072766487717175685,True,inf
4,2,0.1,0.1,80,100,8.3025e-06,0.006112384968242756,True,inf
4,2,0.1,0.1,100,100,6.560000000000001e-06,0.00543323108288245,True,inf
4,2,0.1,0.5,70,80,0.007354113520408165,0.1819162192929392,True,inf
4,2,0.1,0.5,80,100,0.0051890625,0.15280962420606892,True,inf
4,2,0.1,0.5,100,100,0.0041,0.13583077707206126,True,inf
4,2,0.1,1.0,70,80,0.11766581632653064,0.7276648771717568,True,inf
4,2,0.1,1.0,80,100,0.083025,0.6112384968242757,True,inf
4,2,0.1,1.0,100,100,0.0656,0.543323108288245,True,inf
8,4,0.01,0.001,70,80,1.1766581632653065e-13,1.7065254038781943e-06,True,inf
8,4,0.01,0.001,80,100,8.3025e-14,1.433481339257683e-06,True,inf
8,4,0.01,0.001,100,100,6.560000000000002e-14,1.2742056348957182e-06,True,inf
8,4,0.01,0.005,70,80,7.354113520408164e-11,4.266313509695485e-05,True,inf
8,4,0.01,0.005,80,100,5.1890624999999994e-11,3.583703348144207e-05,True,inf
8,4,0.01,0.005,100,100,4.1e-11,3.185514087239295e-05,True,inf
8,4,0.01,0.01,70,80,1.1766581632653062e-09,0.0001706525403878194,True,inf
8,4,0.01,0.01,80,100,8.302499999999999e-10,0.00014334813392576827,True,inf
8,4,0.01,0.01,100,100,6.56e-10,0.0001274205634895718,True,inf
8,4,0.01,0.05,70,80,7.354113520408166e-07,0.004266313509695485,True,inf
8,4,0.01,0.05,80,100,5.1890625e-07,0.003583703348144207,True,inf
8,4,0.01,0.05,100,100,4.1000000000000004e-07,0.003185514087239295,True,inf
8,4,0.01,0.1,70,80,1.1766581632653065e-05,0.01706525403878194,True,inf
8,4,0.01,0.1,80,100,8.3025e-06,0.014334813392576829,True,inf
8,4,0.01,0.1,100,100,6.560000000000001e-06,0.01274205634895718,True,inf
8,4,0.01,0.5,70,80,0.007354113520408165,0.4266313509695485,True,inf
8,4,0.01,0.5,80,100,0.0051890625,0.3583703348144207,True,inf
8,4,0.01,0.5,100,100,0.0041,0.3185514087239295,True,inf
8,4,0.01,1.0,70,80,0.11766581632653064,1.706525403878194,True,inf
8,4,0.01,1.0,80,100,0.083025,1.4334813392576828,True,inf
8,4,0.01,1.0,100,100,0.0656,1.274205634895718,True,inf
8,4,0.05,0.001,70,80,1.1766581632653065e-13,7.476045930510462e-07,True,inf
8,4,0.05,0.001,80,100,8.3025e-14,6.279878581628788e-07,True,inf
8,4,0.05,0.001,100,100,6.560000000000002e-14,5.582114294781145e-07,True,inf
8,4,0.05,0.005,70,80,7.354113520408164e-11,1.8690114826276155e-05,True,inf
8,4,0.05,0.005,80,100,5.1890624999999994e-11,1.5699696454071968e-05,True,inf
8,4,0.05,0.005,100,100,4.1e-11,1.3955285736952861e-05,True,inf
8,4,0.05,0.01,70,80,1.1766581632653062e-09,7.476045930510462e-05,True,inf
8,4,0.05,0.01,80,100,8.302499999999999e-10,6.279878581628787e-05,True,inf
8,4,0.05,0.01,100,100,6.56e-10,5.5821142947811445e-05,True,inf
8,4,0.05,0.05,70,80,7.354113520408166e-07,0.0018690114826276157,True,inf
8,4,0.05,0.05,80,100,5.1890625e-07,0.001569969645407197,True,inf
8,4,0.05,0.05,100,100,4.1000000000000004e-07,0.0013955285736952862,True,inf
8,4,0.05,0.1,70,80,1.1766581632653065e-05,0.007476045930510463,True,inf
8,4,0.05,0.1,80,100,8.3025e-06,0.006279878581628788,True,inf
8,4,0.05,0.1,100,100,6.560000000000001e-06,0.005582114294781145,True,inf
8,4,0.05,0.5,70,80,0.007354113520408165,0.18690114826276155,True,inf
8,4,0.05,0.5,80,100,0.0051890625,0.15699696454071968,True,inf
8,4,0.05,0.5,100,100,0.0041,0.13955285736952863,True,inf
8,4,0.05,1.0,70,80,0.11766581632653064,0.7476045930510462,True,inf
8,4,0.05,1.0,80,100,0.083025,0.6279878581628787,True,inf
8,4,0.05,1.0,100,100,0.0656,0.5582114294781145,True,inf
8,4,0.1,0.001,70,80,1.1766581632653065e-13,5.145367690794254e-07,True,inf
8,4,0.1,0.001,80,100,8.3025e-14,4.322108860267173e-07,True,inf
8,4,0.1,0.001,100,100,6.560000000000002e-14,3.84187454245971e-07,True,inf
8,4,0.1,0.005,70,80,7.354113520408164e-11,1.2863419226985634e-05,True,inf
8,4,0.1,0.005,80,100,5.1890624999999994e-11,1.0805272150667932e-05,True,inf
8,4,0.1,0.005,100,100,4.1e-11,9.604686356149273e-06,True,inf
8,4,0.1,0.01,70,80,1.1766581632653062e-09,5.145367690794254e-05,True,inf
8,4,0.1,0.01,80,100,8.302499999999999e-10,4.322108860267173e-05,True,inf
8,4,0.1,0.01,100,100,6.56e-10,3.841874542459709e-05,True,inf
8,4,0.1,0.05,70,80,7.354113520408166e-07,0.0012863419226985635,True,inf
8,4,0.1,0.05,80,100,5.1890625e-07,0.0010805272150667933,True,inf
8,4,0.1,0.05,100,100,4.1000000000000004e-07,0.0009604686356149274,True,inf
8,4,0.1,0.1,70,80,1.1766581632653065e-05,0.005145367690794254,True,inf
8,4,0.1,0.1,80,100,8.3025e-06,0.004322108860267173,True,inf
8,4,0.1,0.1,100,100,6.560000000000001e-06,0.0038418745424597094,True,inf
8,4,0.1,0.5,70,80,0.007354113520408165,0.12863419226985637,True,inf
8,4,0.1,0.5,80,100,0.0051890625,0.10805272150667933,True,inf
8,4,0.1,0.5,100,100,0.0041,0.09604686356149274,True,inf
8,4,0.1,1.0,70,80,0.11766581632653064,0.5145367690794255,True,inf
8,4,0.1,1.0,80,100,0.083025,0.4322108860267173,True,inf
8,4,0.1,1.0,100,100,0.0656,0.38418745424597095,True,inf
16,8,0.01,0.001,70,80,1.1766581632653065e-13,1.2066956853493828e-06,True,inf
16,8,0.01,0.001,80,100,8.3025e-14,1.0136243756934815e-06,True,inf
16,8,0.01,0.001,100,100,6.560000000000002e-14,9.009994450608725e-07,True,inf
16,8,0.01,0.005,70,80,7.354113520408164e-11,3.016739213373457e-05,True,inf
16,8,0.01,0.005,80,100,5.1890624999999994e-11,2.5340609392337036e-05,True,inf
16,8,0.01,0.005,100,100,4.1e-11,2.252498612652181e-05,True,inf
16,8,0.01,0.01,70,80,1.1766581632653062e-09,0.00012066956853493828,True,inf
16,8,0.01,0.01,80,100,8.302499999999999e-10,0.00010136243756934814,True,inf
16,8,0.01,0.01,100,100,6.56e-10,9.009994450608724e-05,True,inf
16,8,0.01,0.05,70,80,7.354113520408166e-07,0.003016739213373457,True,inf
16,8,0.01,0.05,80,100,5.1890625e-07,0.0025340609392337037,True,inf
16,8,0.01,0.05,100,100,4.1000000000000004e-07,0.002252498612652181,True,inf
16,8,0.01,0.1,70,80,1.1766581632653065e-05,0.012066956853493828,True,inf
16,8,0.01,0.1,80,100,8.3025e-06,0.010136243756934815,True,inf
16,8,0.01,0.1,100,100,6.560000000000001e-06,0.009009994450608724,True,inf
16,8,0.01,0.5,70,80,0.007354113520408165,0.3016739213373457,True,inf
16,8,0.01,0.5,80,100,0.0051890625,0.2534060939233704,True,inf
16,8,0.01,0.5,100,100,0.0041,0.22524986126521812,True,inf
16,8,0.01,1.0,70,80,0.11766581632653064,1.2066956853493829,True,inf
16,8,0.01,1.0,80,100,0.083025,1.0136243756934815,True,inf
16,8,0.01,1.0,100,100,0.0656,0.9009994450608725,True,inf
