setup,trial,target_q,loss_power,loss_exp,rel_err_tail_power,rel_err_tail_exp,amplification_power,amplification_exp
Exponential (alpha=0.05),0,20,0.015055104842481608,0.003099649055521979,10.649223021571986,0.8732387118985752,707.3496420174562,281.72180010546407
Exponential (alpha=0.05),0,40,0.015055104842481608,0.003099649055521979,73.18328946584968,0.9747467725100983,4861.0282177832705,314.4700431357322
Exponential (alpha=0.05),0,60,0.015055104842481608,0.003099649055521979,486.1475350926662,0.9949690831624278,32291.20887212904,320.9941077261347
Exponential (alpha=0.05),0,80,0.015055104842481608,0.003099649055521979,3241.7209901260003,0.9989977469515856,215323.70739547285,322.29382382808535
Exponential (alpha=0.05),1,20,0.006929020786220805,0.0013469887589113677,20.3258304737415,0.6733119803199047,2933.4347663133635,499.86458711371046
Exponential (alpha=0.05),1,40,0.006929020786220805,0.0013469887589113677,138.65184008138147,0.864050084234878,20010.307998656474,641.467924566596
Exponential (alpha=0.05),1,60,0.006929020786220805,0.0013469887589113677,932.568548107818,0.943424985052546,134588.79353165664,700.3955883897826
Exponential (alpha=0.05),1,80,0.006929020786220805,0.0013469887589113677,6296.913917486264,0.976456533287805,908773.9972002485,724.9181005430634
Exponential (alpha=0.05),2,20,0.020327230565009825,0.005700963564745862,8.065741937308958,0.9121522355143388,396.79492546299383,159.99966058281606
Exponential (alpha=0.05),2,40,0.020327230565009825,0.005700963564745862,55.97776755721997,0.986973864218457,2753.8314860669307,173.12404347725914
Exponential (alpha=0.05),2,60,0.020327230565009825,0.005700963564745862,370.1148694971878,0.9980684743158096,18207.835459694903,175.07013732076558
Exponential (alpha=0.05),2,80,0.020327230565009825,0.005700963564745862,2454.4839411733105,0.9997135918483289,120748.56597915388,175.35870565023257
Exponential (alpha=0.05),3,20,0.03221427833398055,0.013291685872024794,5.7467623333449405,0.9440239958185962,178.39177626725532,71.02364627307915
Exponential (alpha=0.05),3,40,0.03221427833398055,0.013291685872024794,40.69864569950512,0.9942628616911778,1263.3728831762046,74.80336739743557
Exponential (alpha=0.05),3,60,0.03221427833398055,0.013291685872024794,267.8232449743931,0.9994119845376924,8313.805517833736,75.19076165996209
