eta,budget,s,action,estimator,rank_scope,observations,mean_signed_error,median_absolute_error,max_absolute_error,median_relative_error,median_log_risk_ratio,max_relative_error,p90_relative_error,p95_relative_error,p99_relative_error
1e-10,80,4,km1,sample_variance,5,40000,0.00021184693037332755,0.022323241311571252,1.4858589601529764,0.8082423726880218,-0.9840999417193592,53.79479834848072,1.5178973470895363,3.02996799879774,8.198331216090152
1e-10,80,4,km1,sample_variance,15,40000,0.00033555114343337424,0.030950630520284156,2.0332017081862177,0.8095177229390423,-0.9784251786726175,53.15633166350691,1.5390174872263533,3.0739830719785672,7.844126177726801
1e-10,80,4,km1,sample_variance,30,40000,-0.0004673880844676944,0.07307737049147785,4.308902957144218,0.8085643987260869,-0.9933301473786131,47.69235118077653,1.5534293640616592,3.035347588861936,7.648600446651418
1e-10,80,4,km1,sample_variance,equal_rank,120000,2.6669996446335846e-05,0.030073547089019208,4.308902957144218,0.8087288338445158,-0.9853940950285396,53.79479834848072,1.5362245480475218,3.049497059967131,7.879394225917067
1e-10,80,4,km1,paired_mean,5,40000,0.0002600074077882457,0.023333861089629385,1.5803720704109776,0.8447569521177614,-1.1070981975656375,57.216599369954146,1.5933546543544725,3.2172438823469145,8.640544879523956
1e-10,80,4,km1,paired_mean,15,40000,0.000433944691023607,0.03231428269656615,2.014199355053178,0.8451820974782582,-1.108740428285218,52.6595312814002,1.6001596221983103,3.2413430595389525,8.418838599602033
1e-10,80,4,km1,paired_mean,30,40000,-0.0006507464053337719,0.07657192418686153,4.575013947331197,0.8472989775786399,-1.1155684994902875,50.63775490030541,1.6181676857326637,3.175801308381196,8.083899143702842
1e-10,80,4,km1,paired_mean,equal_rank,120000,1.4401897826026929e-05,0.03164379270721121,4.575013947331197,0.8458023211957466,-1.110059241771193,57.216599369954146,1.6042067164272311,3.21243146758571,8.378791623546233
1e-10,80,4,km1,mom_w1,5,40000,0.0002600074077882457,0.023333861089629385,1.5803720704109776,0.8447569521177614,-1.1070981975656375,57.216599369954146,1.5933546543544725,3.2172438823469145,8.640544879523956
1e-10,80,4,km1,mom_w1,15,40000,0.000433944691023607,0.03231428269656615,2.014199355053178,0.8451820974782582,-1.108740428285218,52.6595312814002,1.6001596221983103,3.2413430595389525,8.418838599602033
1e-10,80,4,km1,mom_w1,30,40000,-0.0006507464053337719,0.07657192418686153,4.575013947331197,0.8472989775786399,-1.1155684994902875,50.63775490030541,1.6181676857326637,3.175801308381196,8.083899143702842
1e-10,80,4,km1,mom_w1,equal_rank,120000,1.4401897826026929e-05,0.03164379270721121,4.575013947331197,0.8458023211957466,-1.110059241771193,57.216599369954146,1.6042067164272311,3.21243146758571,8.378791623546233
1e-10,80,4,km1,mom_w2,5,40000,0.0002600074077882457,0.023333861089629385,1.5803720704109776,0.8447569521177614,-1.1070981975656375,57.216599369954146,1.5933546543544725,3.2172438823469145,8.640544879523956
1e-10,80,4,km1,mom_w2,15,40000,0.000433944691023607,0.03231428269656615,2.014199355053178,0.8451820974782582,-1.108740428285218,52.6595312814002,1.6001596221983103,3.2413430595389525,8.418838599602033
1e-10,80,4,km1,mom_w2,30,40000,-0.0006507464053337719,0.07657192418686153,4.575013947331197,0.8472989775786399,-1.1155684994902875,50.63775490030541,1.6181676857326637,3.175801308381196,8.083899143702842
1e-10,80,4,km1,mom_w2,equal_rank,120000,1.4401897826026929e-05,0.03164379270721121,4.575013947331197,0.8458023211957466,-1.110059241771193,57.216599369954146,1.6042067164272311,3.21243146758571,8.378791623546233
1e-10,80,4,k,sample_variance,5,40000,3.5448561018122525e-24,8.605175036028403e-22,2.592464616343625e-20,0.6105400317988047,-0.4207685447624498,18.393622921744523,1.2300428500902072,2.0801232558872367,4.388793201966755
1e-10,80,4,k,sample_variance,15,40000,-3.1668937319337975e-24,3.2087610982184245e-21,5.540844720066637e-20,0.5532217622411975,-0.2961387199355865,9.558158356688518,1.1287034429378033,1.7355407546717379,3.376910227468387
1e-10,80,4,k,sample_variance,30,40000,-1.3769441960893e-23,1.5138355677073582e-20,2.5210328550217606e-19,0.5389057526265044,-0.2667074103648872,8.974548625952853,1.1124234687838876,1.6789698291576483,3.0566415336453567
1e-10,80,4,k,sample_variance,equal_rank,120000,-4.463826530338177e-24,2.947211592971356e-21,2.5210328550217606e-19,0.5676323870817036,-0.3226881618887425,18.393622921744523,1.1540426549190184,1.8093716731994016,3.6120616778740304
1e-10,80,4,k,paired_mean,5,40000,1.0725816956620864e-23,9.789013234522499e-22,2.8033259320167756e-20,0.6945337163076482,-0.5372413228659905,19.889690951967705,1.4249936054502415,2.4115890100407507,4.988032897193886
1e-10,80,4,k,paired_mean,15,40000,-1.9902858077532285e-23,3.789420151672185e-21,6.96675255241141e-20,0.6535231909758543,-0.422995419589565,12.017901269611162,1.3375893457123584,2.1039827392458177,4.065885943285441
1e-10,80,4,k,paired_mean,30,40000,-4.631531368524623e-23,1.8007714373119825e-20,2.7900060924665105e-19,0.6410511833507466,-0.39783658054722776,9.932058071250395,1.317506506903106,2.0740233969111053,3.8569248061031725
1e-10,80,4,k,paired_mean,equal_rank,120000,-1.8497451602052542e-23,3.5117579706811445e-21,2.7900060924665105e-19,0.6635858359822652,-0.4485400546031374,19.889690951967705,1.3538892326449439,2.182513649879735,4.313117643806701
1e-10,80,4,k,mom_w1,5,40000,1.0725816956620864e-23,9.789013234522499e-22,2.8033259320167756e-20,0.6945337163076482,-0.5372413228659905,19.889690951967705,1.4249936054502415,2.4115890100407507,4.988032897193886
1e-10,80,4,k,mom_w1,15,40000,-1.9902858077532285e-23,3.789420151672185e-21,6.96675255241141e-20,0.6535231909758543,-0.422995419589565,12.017901269611162,1.3375893457123584,2.1039827392458177,4.065885943285441
1e-10,80,4,k,mom_w1,30,40000,-4.631531368524623e-23,1.8007714373119825e-20,2.7900060924665105e-19,0.6410511833507466,-0.39783658054722776,9.932058071250395,1.317506506903106,2.0740233969111053,3.8569248061031725
1e-10,80,4,k,mom_w1,equal_rank,120000,-1.8497451602052542e-23,3.5117579706811445e-21,2.7900060924665105e-19,0.6635858359822652,-0.4485400546031374,19.889690951967705,1.3538892326449439,2.182513649879735,4.313117643806701
1e-10,80,4,k,mom_w2,5,40000,1.0725816956620864e-23,9.789013234522499e-22,2.8033259320167756e-20,0.6945337163076482,-0.5372413228659905,19.889690951967705,1.4249936054502415,2.4115890100407507,4.988032897193886
1e-10,80,4,k,mom_w2,15,40000,-1.9902858077532285e-23,3.789420151672185e-21,6.96675255241141e-20,0.6535231909758543,-0.422995419589565,12.017901269611162,1.3375893457123584,2.1039827392458177,4.065885943285441
1e-10,80,4,k,mom_w2,30,40000,-4.631531368524623e-23,1.8007714373119825e-20,2.7900060924665105e-19,0.6410511833507466,-0.39783658054722776,9.932058071250395,1.317506506903106,2.0740233969111053,3.8569248061031725
1e-10,80,4,k,mom_w2,equal_rank,120000,-1.8497451602052542e-23,3.5117579706811445e-21,2.7900060924665105e-19,0.6635858359822652,-0.4485400546031374,19.889690951967705,1.3538892326449439,2.182513649879735,4.313117643806701
1e-10,80,4,kp1,sample_variance,5,40000,1.5315509163691995e-24,1.0308626649662416e-21,2.778488872677006e-20,0.5932080508219411,-0.39192768489446234,15.987178719855452,1.2233343350857224,1.9729815714136671,4.117735180317147
1e-10,80,4,kp1,sample_variance,15,40000,-1.939500777946976e-23,3.525247132280057e-21,6.196962021345185e-20,0.5484335092618089,-0.29182503828659045,9.640669048527675,1.1160910934587305,1.7218561993947903,3.318417332980963
1e-10,80,4,kp1,sample_variance,30,40000,2.84378948639527e-23,1.7307655094243614e-20,3.030050166892605e-19,0.5377344321426862,-0.26272299325186044,9.414762381228412,1.1102760608234206,1.6811861000280777,3.0518782604042127
1e-10,80,4,kp1,sample_variance,equal_rank,120000,3.524812666950709e-24,3.2745046502567547e-21,3.030050166892605e-19,0.5602494731224577,-0.31450050097339816,15.987178719855452,1.1461966400459553,1.7813457737417548,3.4888997469106564
1e-10,80,4,kp1,paired_mean,5,40000,9.211846747505511e-24,1.1870665908060064e-21,3.283094817782503e-20,0.6830746974402369,-0.5106986937684461,18.89063660548325,1.4301504631033126,2.3431653096825014,4.760707639237856
1e-10,80,4,kp1,paired_mean,15,40000,-3.776334379132464e-23,4.1734960770606984e-21,7.245920155053387e-20,0.6492165273464192,-0.4213232695092789,11.272974688785741,1.3132986908658695,2.0688530391714854,3.997701825085804
1e-10,80,4,kp1,paired_mean,30,40000,1.4612729413857976e-23,2.058506169843588e-20,3.1600124636030056e-19,0.6396317648055656,-0.397119360278035,9.818508288656549,1.3118430967652113,2.06869190542549,3.8828043973861806
1e-10,80,4,kp1,paired_mean,equal_rank,120000,-4.64625587665372e-24,3.933791354782547e-21,3.1600124636030056e-19,0.6576502716308839,-0.4410828819387585,18.89063660548325,1.3440641544685548,2.1600608585565184,4.201236802587156
1e-10,80,4,kp1,mom_w1,5,40000,9.211846747505511e-24,1.1870665908060064e-21,3.283094817782503e-20,0.6830746974402369,-0.5106986937684461,18.89063660548325,1.4301504631033126,2.3431653096825014,4.760707639237856
1e-10,80,4,kp1,mom_w1,15,40000,-3.776334379132464e-23,4.1734960770606984e-21,7.245920155053387e-20,0.6492165273464192,-0.4213232695092789,11.272974688785741,1.3132986908658695,2.0688530391714854,3.997701825085804
1e-10,80,4,kp1,mom_w1,30,40000,1.4612729413857976e-23,2.058506169843588e-20,3.1600124636030056e-19,0.6396317648055656,-0.397119360278035,9.818508288656549,1.3118430967652113,2.06869190542549,3.8828043973861806
1e-10,80,4,kp1,mom_w1,equal_rank,120000,-4.64625587665372e-24,3.933791354782547e-21,3.1600124636030056e-19,0.6576502716308839,-0.4410828819387585,18.89063660548325,1.3440641544685548,2.1600608585565184,4.201236802587156
1e-10,80,4,kp1,mom_w2,5,40000,9.211846747505511e-24,1.1870665908060064e-21,3.283094817782503e-20,0.6830746974402369,-0.5106986937684461,18.89063660548325,1.4301504631033126,2.3431653096825014,4.760707639237856
1e-10,80,4,kp1,mom_w2,15,40000,-3.776334379132464e-23,4.1734960770606984e-21,7.245920155053387e-20,0.6492165273464192,-0.4213232695092789,11.272974688785741,1.3132986908658695,2.0688530391714854,3.997701825085804
1e-10,80,4,kp1,mom_w2,30,40000,1.4612729413857976e-23,2.058506169843588e-20,3.1600124636030056e-19,0.6396317648055656,-0.397119360278035,9.818508288656549,1.3118430967652113,2.06869190542549,3.8828043973861806
1e-10,80,4,kp1,mom_w2,equal_rank,120000,-4.64625587665372e-24,3.933791354782547e-21,3.1600124636030056e-19,0.6576502716308839,-0.4410828819387585,18.89063660548325,1.3440641544685548,2.1600608585565184,4.201236802587156
1e-10,80,4,kp2,sample_variance,5,40000,-4.127131624251935e-25,1.2140670947446815e-21,3.517816008549532e-20,0.5822501262191,-0.37161281103036775,16.870464001172,1.1986235990847083,1.9363480402403166,3.933019033130552
1e-10,80,4,kp2,sample_variance,15,40000,-2.5031618535066306e-23,3.87651174995313e-21,8.825861996692755e-20,0.5450640621520584,-0.2862461364646542,12.40836223717143,1.1026887352467747,1.6919701094458248,3.2823576459826276
1e-10,80,4,kp2,sample_variance,30,40000,1.2330125271577988e-23,2.0148234099588596e-20,3.5445983044349255e-19,0.5402060861253377,-0.26038658944324855,9.50398848751327,1.1080397852903978,1.6855205460477152,3.058500607489171
1e-10,80,4,kp2,sample_variance,equal_rank,120000,-4.3714021419711685e-24,3.656851331405551e-21,3.5445983044349255e-19,0.555799668973916,-0.30500735425271996,16.870464001172,1.1314768908199029,1.7635303132727869,3.4209215273953713
1e-10,80,4,kp2,paired_mean,5,40000,9.808887716950275e-24,1.4003310597225598e-21,3.5590453942157214e-20,0.6715884027133173,-0.4909774390717526,17.068188630595888,1.4134524017360555,2.2941304233172004,4.570435976380802
1e-10,80,4,kp2,paired_mean,15,40000,-4.5556448218841245e-23,4.6159579561694135e-21,9.789991702799739e-20,0.6490614870189886,-0.41523883634127157,13.763841242108963,1.3038083406471779,2.0626087142055796,4.0151835244383225
1e-10,80,4,kp2,paired_mean,30,40000,2.206594566605281e-23,2.38054291196667e-20,3.407486586172457e-19,0.6382997434539603,-0.3910645350471219,9.136356366762312,1.3096683534938152,2.0647065354006617,3.8499242631437642
1e-10,80,4,kp2,paired_mean,equal_rank,120000,-4.560538278612712e-24,4.3760780281934236e-21,3.407486586172457e-19,0.6528703960298902,-0.4321376246455669,17.068188630595888,1.33825658268609,2.131428693206361,4.161310901169603
1e-10,80,4,kp2,mom_w1,5,40000,9.808887716950275e-24,1.4003310597225598e-21,3.5590453942157214e-20,0.6715884027133173,-0.4909774390717526,17.068188630595888,1.4134524017360555,2.2941304233172004,4.570435976380802
1e-10,80,4,kp2,mom_w1,15,40000,-4.5556448218841245e-23,4.6159579561694135e-21,9.789991702799739e-20,0.6490614870189886,-0.41523883634127157,13.763841242108963,1.3038083406471779,2.0626087142055796,4.0151835244383225
