setup_index,spectrum_family,setup_name,matrix_seed,risk_name,q,bootstrap_count,bootstrap_frequency,bootstrap_samples,bootstrap_seed
0,power,power_c_0.3,42000,oracle_risk,73,0,0.0,20000,20260815
0,power,power_c_0.3,42000,oracle_risk,74,0,0.0,20000,20260815
0,power,power_c_0.3,42000,oracle_risk,75,0,0.0,20000,20260815
0,power,power_c_0.3,42000,oracle_risk,76,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,0,20000,1.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,1,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,2,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,3,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,4,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,5,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,6,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,7,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,8,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,9,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,10,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,11,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,12,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,13,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,14,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,15,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,16,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,17,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,18,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,19,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,20,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,21,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,22,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,23,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,24,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,25,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,26,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,27,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,28,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,29,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,30,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,31,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,32,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,33,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,34,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,35,0,0.0,20000,20260815
0,power,power_c_0.3,42000,gaussian_risk,36,0,0.0,20000,20260815
