sample_size,T_cap,kappa,epsilon,truncation_bias_beta,variance_envelope_nu,bernstein_lower_tail_D,analytic_probability_floor,is_admissible,strictly_exceeds_analytic_floor
4,64.0,1.0,0.1,95.07769412391455,81.0,1.0,0.9753099120283326,False,True
4,64.0,1.0,0.25,95.07769412391455,81.0,1.0,0.9753099120283326,False,True
4,64.0,1.0,0.5,95.07769412391455,81.0,1.0,0.9753099120283326,False,True
4,64.0,1.0,0.75,95.07769412391455,81.0,1.0,0.9753099120283326,False,True
4,64.0,1.0,0.99,95.07769412391455,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.5,0.1,13.634069669641837,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.5,0.25,13.634069669641837,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.5,0.5,13.634069669641837,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.5,0.75,13.634069669641837,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.5,0.99,13.634069669641837,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.25,0.1,1.1621929196612273,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.25,0.25,1.1621929196612273,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.25,0.5,1.1621929196612273,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.25,0.75,1.1621929196612273,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.25,0.99,1.1621929196612273,81.0,1.0,0.9753099120283326,False,True
4,64.0,0.1,0.1,0.021226673373957852,80.0420027750854,0.9998450133406629,0.9753099120283326,True,True
4,64.0,0.1,0.25,0.021226673373957852,80.0420027750854,0.998694353566487,0.9753099120283326,True,True
4,64.0,0.1,0.5,0.021226673373957852,80.0420027750854,0.9943001132591982,0.9753099120283326,True,True
4,64.0,0.1,0.75,0.021226673373957852,80.0420027750854,0.9868564982971768,0.9753099120283326,True,True
4,64.0,0.1,0.99,0.021226673373957852,80.0420027750854,0.9769141506464204,0.9753099120283326,True,True
4,64.0,0.044721359549995794,0.1,0.000641022628535848,80.00128163434707,0.999753331352698,0.9753099120283326,True,True
4,64.0,0.044721359549995794,0.25,0.000641022628535848,80.00128163434707,0.9984483458636683,0.9753099120283326,True,True
4,64.0,0.044721359549995794,0.5,0.000641022628535848,80.00128163434707,0.9937983686268224,0.9753099120283326,True,True
4,64.0,0.044721359549995794,0.75,0.000641022628535848,80.00128163434707,0.9861029164102216,0.9753099120283326,True,True
4,64.0,0.044721359549995794,0.99,0.000641022628535848,80.00128163434707,0.9759246207676299,0.9753099120283326,True,True
4,128.0,1.0,0.1,63.4044165336153,81.0,1.0,0.9753099120283326,False,True
