metric,bootstrap_samples,point_estimate,ci_lower,ci_upper,bootstrap_seed
pairing_variance_ratio,10000,0.1510319081204173,0.137068521751966,0.1667345725119506,93000
covariance_contribution,10000,0.8489680918795827,0.8337851613565582,0.8628646186489803,93000
