q,r_actual,rank_gain_accepted,reference_scale,projected_sample_norm,rank_acceptance_cutoff,gaussian_energy,rademacher_energy,ideal_tail_q,gaussian_to_ideal_tail,rademacher_to_ideal_tail,s1_sigma_max,s1_sigma_min,s1_condition,s1_pinv_norm,s1_stable_rank,s1_numerical_rank,s1_full_row_rank,y_sigma_min,y_condition,y_numerical_rank,graph_factor_op,graph_factor_fro,graph_projection_bound,graph_identity_error,subspace_projection_op,subspace_projection_fro,largest_principal_angle_rad,largest_principal_angle_deg,sigma_min_u1tq,dimension,step_rank,eta,orientation_seed,basis_trial,basis_seed,q_offset,budget,ell,constructed_basis_queries,accounted_total_queries,rank_risk,gaussian_risk,rademacher_risk,next_q,gaussian_energy_ratio_next,gaussian_risk_difference_next,gaussian_local_improves,rademacher_energy_ratio_next,rademacher_risk_difference_next,rademacher_local_improves,local_energy_ratio_threshold
4,4,True,4.948313858241386,1.0422883785340809,4.948313858241386e-12,1.000000000495004,0.9944836523337349,1.000000000495,1.000000000000004,0.9944836518414655,3.7516374022403034,0.7115248018925828,5.272672705521064,1.4054323859689821,1.7396935848618846,4,False,0.711524802237536,5.27267270305671,4,,,,,1.0000000000000004,1.0000000007737173,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,1,70001,-1,80,72,8,80,0.027777777791527777,0.02777777779152789,0.027624545898159304,5.0,7.431746420119714e-10,-0.02777777777029433,1.0,2.2405964058571687e-10,-0.027624545891792914,1.0,0.9722222222222222
5,5,True,5.373495572202693,0.012483476790543156,5.373495572202693e-12,7.431746423798458e-10,2.2282364971026767e-10,4.949999999999999e-10,1.5013629138986786,0.4501487872934701,4.046023745584601,0.005889664574408322,686.9701482093428,169.78895612242235,1.7638308575335429,5,True,0.005889708114897572,686.9650696975169,5,0.0038451850746173857,0.0038452912903849347,0.0038451566485401224,5.0519484429134565e-15,0.0038451566485451743,0.0038452628650978834,0.003845166123862233,0.2203117904239839,0.9999926073578483,500,5,1e-06,52000,1,70001,0,80,70,10,80,1.4142857142857141e-11,2.1233561210852737e-11,6.366389991721933e-12,6.0,0.6647190217179777,-6.704081174136882e-12,1.0,0.02651656867869733,-6.192610032581336e-12,1.0,0.9714285714285714
6,6,True,5.546827674305348,0.005006769126174966,5.546827674305348e-12,4.94002321248339e-10,5.908518610780309e-12,4.94e-10,1.0000046988832776,0.011960563989433825,4.048495408265621,0.9086029853124569,4.455736414814217,1.100590704812744,1.8771632584648443,5,True,2.265440918850125e-05,178706.73097864678,6,2.4036627718883266e-05,3.416393296726097e-05,2.4036627711939574e-05,,2.3900707426842276e-05,3.406457405060771e-05,2.39007074291178e-05,0.001369409663065422,0.9999999997143783,500,5,1e-06,52000,1,70001,1,80,68,12,80,1.452941176470588e-11,1.4529480036715855e-11,1.737799591405973e-13,7.0,0.9979751248527492,4.099753640526002e-13,0.0,1.1644873361252683,3.471686199619461e-14,0.0,0.9705882352941176
7,7,True,6.08736965620978,3.660844253379877e-05,6.087369656209779e-12,4.930020282253591e-10,6.880395097514133e-12,4.93e-10,1.0000041140473817,0.013956176668385667,4.294496187759924,0.9520521665268584,4.510778231224971,1.0503626115867768,2.0092543031977685,5,True,2.104810447729924e-05,204032.4435129089,7,2.3644903025097796e-05,3.200254734325458e-05,2.3644903018488086e-05,,2.3435680690756387e-05,3.1842059307917895e-05,2.3435680692901654e-05,0.0013427655937194936,0.9999999997253846,500,5,1e-06,52000,1,70001,2,80,66,14,80,1.4939393939393938e-11,1.4939455400768455e-11,2.0849682113679192e-13,,,,,,,,
3,3,True,4.7822538322906345,1.7204390538219647,4.782253832290634e-12,2.000000000495003,1.9855044446482772,2.000000000495,1.0000000000000016,0.9927522220784324,3.710820409954893,0.7132459497084395,5.202722022426908,1.4020409094629698,1.6608307398627455,3,False,0.7132459500590916,5.202722019960787,3,,,,,1.0000000000000002,1.414213562753421,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,1,70001,-2,160,154,6,160,0.025974025980454545,0.025974025980454587,0.025785772008419184,4.0,0.5000000001237512,-0.01281613123709927,1.0,0.5008720353229443,-0.012700460793501619,1.0,0.987012987012987
4,4,True,4.948313858241386,1.0422883785340809,4.948313858241386e-12,1.000000000495004,0.9944836523337349,1.000000000495,1.000000000000004,0.9944836518414655,3.7516374022403034,0.7115248018925828,5.272672705521064,1.4054323859689821,1.7396935848618846,4,False,0.711524802237536,5.27267270305671,4,,,,,1.0000000000000004,1.0000000007737173,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,1,70001,-1,160,152,8,160,0.013157894743355264,0.013157894743355316,0.013085311214917565,5.0,7.431746420119714e-10,-0.013157894733446321,1.0,2.2405964058571687e-10,-0.013085311211946582,1.0,0.9868421052631579
5,5,True,5.373495572202693,0.012483476790543156,5.373495572202693e-12,7.431746423798458e-10,2.2282364971026767e-10,4.949999999999999e-10,1.5013629138986786,0.4501487872934701,4.046023745584601,0.005889664574408322,686.9701482093428,169.78895612242235,1.7638308575335429,5,True,0.005889708114897572,686.9650696975169,5,0.0038451850746173857,0.0038452912903849347,0.0038451566485401224,5.0519484429134565e-15,0.0038451566485451743,0.0038452628650978834,0.003845166123862233,0.2203117904239839,0.9999926073578483,500,5,1e-06,52000,1,70001,0,160,150,10,160,6.599999999999999e-12,9.908995231731278e-12,2.9709819961369024e-12,6.0,0.6647190217179777,-3.2332881878348046e-12,1.0,0.02651656867869733,-2.8911371500452765e-12,1.0,0.9866666666666667
6,6,True,5.546827674305348,0.005006769126174966,5.546827674305348e-12,4.94002321248339e-10,5.908518610780309e-12,4.94e-10,1.0000046988832776,0.011960563989433825,4.048495408265621,0.9086029853124569,4.455736414814217,1.100590704812744,1.8771632584648443,5,True,2.265440918850125e-05,178706.73097864678,6,2.4036627718883266e-05,3.416393296726097e-05,2.4036627711939574e-05,,2.3900707426842276e-05,3.406457405060771e-05,2.39007074291178e-05,0.001369409663065422,0.9999999997143783,500,5,1e-06,52000,1,70001,1,160,148,12,160,6.675675675675675e-12,6.675707043896473e-12,7.984484609162579e-14,7.0,0.9979751248527492,7.774539754680154e-14,0.0,1.1644873361252683,1.4407141545554116e-14,0.0,0.9864864864864865
7,7,True,6.08736965620978,3.660844253379877e-05,6.087369656209779e-12,4.930020282253591e-10,6.880395097514133e-12,4.93e-10,1.0000041140473817,0.013956176668385667,4.294496187759924,0.9520521665268584,4.510778231224971,1.0503626115867768,2.0092543031977685,5,True,2.104810447729924e-05,204032.4435129089,7,2.3644903025097796e-05,3.200254734325458e-05,2.3644903018488086e-05,,2.3435680690756387e-05,3.1842059307917895e-05,2.3435680692901654e-05,0.0013427655937194936,0.9999999997253846,500,5,1e-06,52000,1,70001,2,160,146,14,160,6.753424657534246e-12,6.753452441443275e-12,9.425198763717991e-14,,,,,,,,
3,3,True,4.7822538322906345,1.7204390538219647,4.782253832290634e-12,2.000000000495003,1.9855044446482772,2.000000000495,1.0000000000000016,0.9927522220784324,3.710820409954893,0.7132459497084395,5.202722022426908,1.4020409094629698,1.6608307398627455,3,False,0.7132459500590916,5.202722019960787,3,,,,,1.0000000000000002,1.414213562753421,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,1,70001,-2,240,234,6,240,0.017094017098247864,0.01709401709824789,0.016970123458532285,4.0,0.5000000001237512,-0.008473327438808199,1.0,0.5008720353229443,-0.008396988524620777,1.0,0.9914529914529915
4,4,True,4.948313858241386,1.0422883785340809,4.948313858241386e-12,1.000000000495004,0.9944836523337349,1.000000000495,1.000000000000004,0.9944836518414655,3.7516374022403034,0.7115248018925828,5.272672705521064,1.4054323859689821,1.7396935848618846,4,False,0.711524802237536,5.27267270305671,4,,,,,1.0000000000000004,1.0000000007737173,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,1,70001,-1,240,232,8,240,0.008620689659439655,0.00862068965943969,0.008573134933911509,5.0,7.431746420119714e-10,-0.008620689652977302,1.0,2.2405964058571687e-10,-0.00857313493197391,1.0,0.9913793103448276
5,5,True,5.373495572202693,0.012483476790543156,5.373495572202693e-12,7.431746423798458e-10,2.2282364971026767e-10,4.949999999999999e-10,1.5013629138986786,0.4501487872934701,4.046023745584601,0.005889664574408322,686.9701482093428,169.78895612242235,1.7638308575335429,5,True,0.005889708114897572,686.9650696975169,5,0.0038451850746173857,0.0038452912903849347,0.0038451566485401224,5.0519484429134565e-15,0.0038451566485451743,0.0038452628650978834,0.003845166123862233,0.2203117904239839,0.9999926073578483,500,5,1e-06,52000,1,70001,0,240,230,10,240,4.3043478260869564e-12,6.462388194607354e-12,1.9375969540023275e-12,6.0,0.6647190217179777,-2.1290344994464853e-12,1.0,0.02651656867869733,-1.8857678433814475e-12,1.0,0.991304347826087
6,6,True,5.546827674305348,0.005006769126174966,5.546827674305348e-12,4.94002321248339e-10,5.908518610780309e-12,4.94e-10,1.0000046988832776,0.011960563989433825,4.048495408265621,0.9086029853124569,4.455736414814217,1.100590704812744,1.8771632584648443,5,True,2.265440918850125e-05,178706.73097864678,6,2.4036627718883266e-05,3.416393296726097e-05,2.4036627711939574e-05,,2.3900707426842276e-05,3.406457405060771e-05,2.39007074291178e-05,0.001369409663065422,0.9999999997143783,500,5,1e-06,52000,1,70001,1,240,228,12,240,4.333333333333333e-12,4.333353695160869e-12,5.18291106208799e-14,7.0,0.9979751248527492,2.9496112143193546e-14,0.0,1.1644873361252683,9.059341569510665e-15,0.0,0.9912280701754386
7,7,True,6.08736965620978,3.660844253379877e-05,6.087369656209779e-12,4.930020282253591e-10,6.880395097514133e-12,4.93e-10,1.0000041140473817,0.013956176668385667,4.294496187759924,0.9520521665268584,4.510778231224971,1.0503626115867768,2.0092543031977685,5,True,2.104810447729924e-05,204032.4435129089,7,2.3644903025097796e-05,3.200254734325458e-05,2.3644903018488086e-05,,2.3435680690756387e-05,3.1842059307917895e-05,2.3435680692901654e-05,0.0013427655937194936,0.9999999997253846,500,5,1e-06,52000,1,70001,2,240,226,14,240,4.362831858407079e-12,4.3628498073040626e-12,6.088845219039056e-14,,,,,,,,
3,3,True,3.498243751875922,2.3489249192616954,3.498243751875922e-12,2.000000000495002,1.9844358881709818,2.000000000495,1.0000000000000009,0.9922179438399169,2.7668338606276492,1.112310630427898,2.48746508838387,0.8990294371414099,1.5985785096990681,3,False,1.1123106306540482,2.4874650879630935,3,,,,,1.0000000000000002,1.4142135625898113,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,2,70002,-2,80,74,6,80,0.05405405406743243,0.05405405406743248,0.05363340238299951,4.0,0.5000000001237528,-0.026276276275904523,1.0,0.5009485796274891,-0.026019504062414284,1.0,0.972972972972973
4,4,True,3.753307559467301,0.539418066338407,3.753307559467301e-12,1.0000000004950065,0.9941003395410681,1.000000000495,1.0000000000000064,0.9941003390489884,2.7871866313582765,0.41661036505097976,6.690151914528613,2.4003243411325883,1.8134108357661645,4,False,0.4166103656340144,6.690151905388671,4,,,,,1.0,1.0000000016560981,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,2,70002,-1,80,72,8,80,0.027777777791527777,0.027777777791527958,0.027613898320585226,5.0,4.950282689843686e-10,-0.027777777777384292,1.0,4.962740527303838e-12,-0.02761389832044427,1.0,0.9722222222222222
5,5,True,3.957050163084605,0.43899285343727995,3.957050163084605e-12,4.950282692294108e-10,4.933462043246965e-12,4.949999999999999e-10,1.0000571095543653,0.009966589986357506,2.7881144978284897,0.18750558243995324,14.869501278562494,5.333174548657717,2.014289561518428,5,True,0.18750558363902062,14.869501183967428,5,0.00011310100778032115,0.00011854287103966957,0.00011310100705693628,1.0119672027436577e-16,0.00011310100705703748,0.00011854287034621498,0.00011310100729816576,0.0064802103768632205,0.999999993604081,500,5,1e-06,52000,2,70002,0,80,70,10,80,1.4142857142857141e-11,1.4143664835126023e-11,1.409560583784847e-13,6.0,0.9979494452870352,3.86134773076673e-13,0.0,1.1975697058432249,3.281349126622066e-14,0.0,0.9714285714285714
6,6,True,4.414541871415751,4.978479498525102e-05,4.414541871415751e-12,4.940131866788916e-10,5.908164687919983e-12,4.94e-10,1.000026693681967,0.011959847546396727,2.8642930868904286,0.30071553346761476,9.524925612793114,3.3254018788746538,2.375397916119218,5,True,2.0512130293580547e-05,139638.98658893176,6,7.365892650382027e-05,8.113117337107477e-05,7.365892630399696e-05,,7.365794768406251e-05,8.110641006295669e-05,7.365794775066762e-05,0.00422028953370839,0.9999999972872534,500,5,1e-06,52000,2,70002,1,80,68,12,80,1.452941176470588e-11,1.4529799608202696e-11,1.7376954964470537e-13,7.0,0.9979620314131622,4.0978837128083106e-13,0.0,1.1644371305987802,3.47057938797365e-14,0.0,0.9705882352941176
7,7,True,4.815404806247169,5.468542271722408e-05,4.815404806247169e-12,4.930064033229564e-10,6.879686336306582e-12,4.93e-10,1.0000129884846987,0.013954739018877449,3.0141743490223565,0.4836800306723928,6.231752724693163,2.0674825020372243,2.55228321568594,5,True,2.0364680269889563e-05,148009.90288851917,7,4.8012594577439286e-05,5.665920474145063e-05,4.801259452209976e-05,,4.7907953576806446e-05,5.6557829308832483e-05,4.7907953595132614e-05,0.0027449235461096976,0.9999999988524138,500,5,1e-06,52000,2,70002,2,80,66,14,80,1.4939393939393938e-11,1.4939587979483527e-11,2.0847534352444187e-13,,,,,,,,
3,3,True,3.498243751875922,2.3489249192616954,3.498243751875922e-12,2.000000000495002,1.9844358881709818,2.000000000495,1.0000000000000009,0.9922179438399169,2.7668338606276492,1.112310630427898,2.48746508838387,0.8990294371414099,1.5985785096990681,3,False,1.1123106306540482,2.4874650879630935,3,,,,,1.0000000000000002,1.4142135625898113,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,2,70002,-2,160,154,6,160,0.025974025980454545,0.02597402598045457,0.025771894651571193,4.0,0.5000000001237528,-0.012816131237099222,1.0,0.5009485796274891,-0.012691627026030822,1.0,0.987012987012987
4,4,True,3.753307559467301,0.539418066338407,3.753307559467301e-12,1.0000000004950065,0.9941003395410681,1.000000000495,1.0000000000000064,0.9941003390489884,2.7871866313582765,0.41661036505097976,6.690151914528613,2.4003243411325883,1.8134108357661645,4,False,0.4166103656340144,6.690151905388671,4,,,,,1.0,1.0000000016560981,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,2,70002,-1,160,152,8,160,0.013157894743355264,0.013157894743355348,0.01308026762554037,5.0,4.950282689843686e-10,-0.013157894736754971,1.0,4.962740527303838e-12,-0.013080267625474592,1.0,0.9868421052631579
5,5,True,3.957050163084605,0.43899285343727995,3.957050163084605e-12,4.950282692294108e-10,4.933462043246965e-12,4.949999999999999e-10,1.0000571095543653,0.009966589986357506,2.7881144978284897,0.18750558243995324,14.869501278562494,5.333174548657717,2.014289561518428,5,True,0.18750558363902062,14.869501183967428,5,0.00011310100778032115,0.00011854287103966957,0.00011310100705693628,1.0119672027436577e-16,0.00011310100705703748,0.00011854287034621498,0.00011310100729816576,0.0064802103768632205,0.999999993604081,500,5,1e-06,52000,2,70002,0,160,150,10,160,6.599999999999999e-12,6.60037692305881e-12,6.577949390995953e-14,6.0,0.9979494452870352,7.547695098026583e-14,0.0,1.1975697058432249,1.4060569440310512e-14,0.0,0.9866666666666667
6,6,True,4.414541871415751,4.978479498525102e-05,4.414541871415751e-12,4.940131866788916e-10,5.908164687919983e-12,4.94e-10,1.000026693681967,0.011959847546396727,2.8642930868904286,0.30071553346761476,9.524925612793114,3.3254018788746538,2.375397916119218,5,True,2.0512130293580547e-05,139638.98658893176,6,7.365892650382027e-05,8.113117337107477e-05,7.365892630399696e-05,,7.365794768406251e-05,8.110641006295669e-05,7.365794775066762e-05,0.00422028953370839,0.9999999972872534,500,5,1e-06,52000,2,70002,1,160,148,12,160,6.675675675675675e-12,6.675853874039076e-12,7.984006335027004e-14,7.0,0.9979620314131622,7.765850024799771e-14,0.0,1.1644371305987802,1.440221522927218e-14,0.0,0.9864864864864865
7,7,True,4.815404806247169,5.468542271722408e-05,4.815404806247169e-12,4.930064033229564e-10,6.879686336306582e-12,4.93e-10,1.0000129884846987,0.013954739018877449,3.0141743490223565,0.4836800306723928,6.231752724693163,2.0674825020372243,2.55228321568594,5,True,2.0364680269889563e-05,148009.90288851917,7,4.8012594577439286e-05,5.665920474145063e-05,4.801259452209976e-05,,4.7907953576806446e-05,5.6557829308832483e-05,4.7907953595132614e-05,0.0027449235461096976,0.9999999988524138,500,5,1e-06,52000,2,70002,2,160,146,14,160,6.753424657534246e-12,6.753512374287074e-12,9.424227857954222e-14,,,,,,,,
