case,q_emp_target,q_final,gamma,w_power,w_exp,w_step,Hutchinson,Hutch++ (Standard),Gaussian-Hutch++,Hard Single-c,Soft Single-c,Model-Averaged (Ours)
Case 1: Power-Law (c=2.0),62,47,0.13482387056596218,0.3622258862977912,0.2864697816019323,0.35130433210027645,0.012881334239928592,1.9854745404165445e-07,1.978373959085078e-07,1.2165732093809167e-07,1.2165732093809167e-07,2.3394324756500201e-07
Case 2: Exponential (alpha=0.05),68,45,0.19735849004759362,0.49477593448777984,0.5052010201263957,2.3045385824524158e-05,0.09718699219323254,0.00438222415152417,0.010247886206062293,0.06067440123381524,0.01333555464856083,0.005502960036177511
"Case 3: Step Spectrum (r=20, eta=0.01)",35,10,0.9998797080634124,0.4999867523444462,0.49999054794873327,2.26997068205548e-05,0.1522942356790247,0.00022359307712388758,8.698163617227167e-05,0.0001608123230611916,0.0001608123230611916,0.12956850871420894
