s,estimator,metric,bootstrap_samples,bootstrap_seed,evaluable,point,ci_low,ci_high
16,sample_variance,false_safe,10000,16071020747240265269,True,0.00013435126732999075,2.7673483923483924e-05,0.00030509215961343415
16,sample_variance,false_rejection,10000,11372229304333181107,True,0.005157407407407408,0.0029907407407407404,0.007722453703703701
16,sample_variance,catastrophic_detection,10000,17518856165458989192,True,0.7966666666666665,0.6906625,0.8928333333333333
16,sample_variance,better_acceptance,10000,15056856996902572565,True,0.5209907407407407,0.40305486111111105,0.63506875
16,sample_variance,control_false_safe,10000,9993702278736717253,True,8.333333333333334e-06,0.0,2.4999999999999998e-05
16,mom_w1,false_safe,10000,9825887138228973134,True,0.046971397396929314,0.04548594322344323,0.048517919437733266
16,mom_w1,false_rejection,10000,18356586734783126803,True,0.06879629629629629,0.05252662037037037,0.08624097222222221
16,mom_w1,catastrophic_detection,10000,4795202606207620172,True,0.7200000000000001,0.6308333333333334,0.8083333333333332
16,mom_w1,better_acceptance,10000,15161501542567330758,True,0.5184537037037037,0.42891574074074074,0.6083726851851852
16,mom_w1,control_false_safe,10000,11616554714554972523,True,0.042100418760469015,0.04099991938860972,0.043219515284757114
16,mom_w2,false_safe,10000,11273595009286617689,True,0.015477643121260142,0.014513093506178612,0.01650362344019259
16,mom_w2,false_rejection,10000,2072305221665405756,True,0.037787037037037036,0.02713888888888889,0.048907407407407406
16,mom_w2,catastrophic_detection,10000,3283453463379575012,True,0.7559999999999999,0.6626624999999999,0.8446708333333334
16,mom_w2,better_acceptance,10000,10961476421088871370,True,0.5245555555555556,0.4267407407407407,0.6230379629629631
16,mom_w2,control_false_safe,10000,14415980924072211718,True,0.013043969849246233,0.012351251046901171,0.01374348094639866
32,sample_variance,false_safe,10000,6378679154003156005,True,0.0,0.0,0.0
32,sample_variance,false_rejection,10000,9295917904475094434,True,0.000537037037037037,0.0001388888888888889,0.0010185185185185184
32,sample_variance,catastrophic_detection,10000,12418691399929157654,True,0.8115,0.6901541666666667,0.9185041666666666
32,sample_variance,better_acceptance,10000,7039208917596647823,True,0.5168796296296296,0.39059166666666667,0.6378428240740739
32,sample_variance,control_false_safe,10000,7200989776459736673,True,0.0,0.0,0.0
32,mom_w1,false_safe,10000,1889090420969881644,True,0.02024766191255553,0.019266409260558195,0.021285329150754685
32,mom_w1,false_rejection,10000,12640322100817667831,True,0.037120370370370366,0.026462731481481483,0.04887986111111111
32,mom_w1,catastrophic_detection,10000,6198985570005693275,True,0.7381666666666667,0.6364958333333333,0.8305041666666667
32,mom_w1,better_acceptance,10000,11382327038568967729,True,0.5122407407407408,0.41137824074074075,0.6112504629629629
32,mom_w1,control_false_safe,10000,12404886982592519331,True,0.01770280569514238,0.01694388609715243,0.018462641331658293
32,mom_w2,false_safe,10000,17590243069173357937,True,0.00649779830098979,0.005881257631257631,0.007170869920072047
32,mom_w2,false_rejection,10000,2162903207015705962,True,0.02125925925925926,0.014481481481481482,0.028685185185185185
32,mom_w2,catastrophic_detection,10000,14618708376142987010,True,0.7720000000000001,0.6704958333333333,0.8646666666666668
32,mom_w2,better_acceptance,10000,7561089291751358368,True,0.5209444444444444,0.41470902777777785,0.6266606481481479
32,mom_w2,control_false_safe,10000,16258531445733587975,True,0.005074162479061977,0.0046732799413735345,0.005483292504187605
