setup_index,spectrum_family,setup_name,matrix_seed,risk_name,curve_minimizer_q,minimum_mean_risk,mean_trial_minimizer_q,median_trial_minimizer_q,bootstrap_q_ci_low,bootstrap_q_ci_high,bootstrap_samples
17,step,step_r_25_eta_0.1,42017,rademacher_risk,49,0.037582405643130576,48.24,48.0,48.0,49.0,20000
18,step,step_r_30_eta_0.001,42018,oracle_risk,30,9.400000000000096e-06,30.0,30.0,30.0,30.0,20000
18,step,step_r_30_eta_0.001,42018,gaussian_risk,35,1.0555189616327078e-05,32.875,33.0,34.0,35.0,20000
18,step,step_r_30_eta_0.001,42018,rademacher_risk,36,8.029236421627081e-07,34.145,34.0,35.0,36.0,20000
19,step,step_r_30_eta_0.05,42019,oracle_risk,30,0.023499999999999722,30.0,30.0,30.0,30.0,20000
19,step,step_r_30_eta_0.05,42019,gaussian_risk,46,0.04603628037497533,44.96,45.0,45.0,46.0,20000
19,step,step_r_30_eta_0.05,42019,rademacher_risk,53,0.00923317650736357,52.475,52.5,52.0,54.0,20000
20,step,step_r_30_eta_0.1,42020,oracle_risk,30,0.09399999999999889,30.0,30.0,30.0,30.0,20000
20,step,step_r_30_eta_0.1,42020,gaussian_risk,42,0.2007422324490892,41.205,41.0,40.0,42.0,20000
20,step,step_r_30_eta_0.1,42020,rademacher_risk,53,0.052240868377059796,51.905,52.0,52.0,53.0,20000
21,misspecified,smooth_elbow,42021,oracle_risk,60,0.01195813961659298,60.0,60.0,60.0,60.0,20000
21,misspecified,smooth_elbow,42021,gaussian_risk,61,0.03088586635285562,60.235,60.0,60.0,61.0,20000
21,misspecified,smooth_elbow,42021,rademacher_risk,61,0.024932366156366473,61.23,61.0,61.0,62.0,20000
22,misspecified,power_exponential_mixture,42022,oracle_risk,63,4.7957112631848586e-05,63.0,63.0,63.0,63.0,20000
22,misspecified,power_exponential_mixture,42022,gaussian_risk,64,0.00012614293514633153,64.165,64.0,64.0,65.0,20000
22,misspecified,power_exponential_mixture,42022,rademacher_risk,66,9.273697558502378e-05,65.84,66.0,65.0,67.0,20000
23,misspecified,lognormal_shaped_decay,42023,oracle_risk,67,4.066347707254365e-06,67.0,67.0,67.0,67.0,20000
23,misspecified,lognormal_shaped_decay,42023,gaussian_risk,67,1.1321726665720622e-05,66.49,67.0,66.0,68.0,20000
23,misspecified,lognormal_shaped_decay,42023,rademacher_risk,68,1.0191831798987612e-05,66.68,67.0,66.0,68.0,20000
