s,estimator,batch,evaluable,passed,false_safe,false_rejection,catastrophic_detection,better_acceptance,control_false_safe
16,sample_variance,0,True,True,0.00021551104529827936,0.004925925925925926,0.7966666666666667,0.5232962962962963,0.0
16,sample_variance,1,True,True,3.546099290780142e-05,0.00362962962962963,0.7939999999999999,0.5198518518518518,0.0
16,sample_variance,2,True,True,0.00010795902285263988,0.005851851851851851,0.802,0.5222222222222221,0.0
16,sample_variance,3,True,True,0.00017847400826124233,0.006222222222222222,0.794,0.5185925925925926,3.3333333333333335e-05
16,mom_w1,0,True,False,0.04696356047419877,0.06903703703703705,0.7186666666666666,0.5142222222222222,0.04243249581239531
16,mom_w1,1,True,False,0.04622940101663505,0.061,0.7226666666666667,0.5258148148148147,0.04156599664991625
16,mom_w1,2,True,False,0.04725471297811723,0.06981481481481482,0.7240000000000001,0.5173333333333333,0.042335343383584585
16,mom_w1,3,True,False,0.04743791511876618,0.07533333333333335,0.7146666666666667,0.5164444444444444,0.0420678391959799
16,mom_w2,0,True,False,0.015593978125893018,0.03766666666666666,0.7519999999999999,0.5259629629629629,0.013385594639866
16,mom_w2,1,True,False,0.014984230899124519,0.036703703703703704,0.758,0.5292592592592593,0.012784087102177556
16,mom_w2,2,True,False,0.015356835441941824,0.03625925925925926,0.758,0.5229259259259259,0.012952596314907873
16,mom_w2,3,True,False,0.01597552801808121,0.04051851851851853,0.7559999999999999,0.520074074074074,0.0130536013400335
32,sample_variance,0,True,True,0.0,0.000888888888888889,0.8133333333333334,0.517962962962963,0.0
32,sample_variance,1,True,True,0.0,0.0003333333333333333,0.8126666666666668,0.5192222222222221,0.0
32,sample_variance,2,True,True,0.0,0.0,0.8093333333333333,0.5162592592592592,0.0
32,sample_variance,3,True,True,0.0,0.000925925925925926,0.8106666666666666,0.514074074074074,0.0
32,mom_w1,0,True,False,0.01932558300643407,0.04133333333333333,0.7413333333333334,0.5193333333333333,0.016524790619765497
32,mom_w1,1,True,False,0.021091687666155753,0.03440740740740741,0.7393333333333333,0.5146666666666667,0.018363651591289786
32,mom_w1,2,True,False,0.02142224993288823,0.04014814814814815,0.75,0.5197407407407407,0.018863484087102176
32,mom_w1,3,True,False,0.01915112704474407,0.0325925925925926,0.722,0.49522222222222223,0.01705929648241206
32,mom_w2,0,True,False,0.006414889287229712,0.01759259259259259,0.7640000000000001,0.5152962962962963,0.004807370184254606
32,mom_w2,1,True,False,0.006219693623948943,0.022740740740740742,0.7839999999999999,0.5321111111111111,0.005173031825795645
32,mom_w2,2,True,False,0.007279678556274301,0.02077777777777778,0.7726666666666667,0.5216296296296297,0.005608710217755444
32,mom_w2,3,True,False,0.006076931736506205,0.02392592592592593,0.7673333333333333,0.5147407407407408,0.004707537688442212
