setup_index,spectrum_family,setup_name,method,delta_q_category,observations,mse,median_relative_error,mean_delta_q_raw,mean_delta_q_safe,guard_activation_rate
7,exponential,exponential_alpha_0.10,Sequential Unguarded (B<=q0),negative,6,0.001316810665322162,0.0018831671836215935,-26.5,-26.5,0.0
7,exponential,exponential_alpha_0.10,"Sequential Symmetric Guard [-4,+4]",positive,194,7.094683038265067e-06,0.00020078020185551924,11.0,4.0,1.0
7,exponential,exponential_alpha_0.10,"Sequential Symmetric Guard [-4,+4]",negative,6,2.0354348279262166e-05,0.00024698402359163733,-26.5,-4.0,1.0
7,exponential,exponential_alpha_0.10,"Sequential Asymmetric Guard [0,+4]",positive,194,7.094683038265067e-06,0.00020078020185551924,11.0,4.0,1.0
7,exponential,exponential_alpha_0.10,"Sequential Asymmetric Guard [0,+4]",negative,6,2.9035268200077482e-05,0.0003554204294413699,-26.5,0.0,1.0
8,exponential,exponential_alpha_0.15,Sequential Forced Baseline (q=q0),positive,191,4.541810865446703e-08,2.280771828023879e-05,13.780104712041885,0.0,1.0
8,exponential,exponential_alpha_0.15,Sequential Forced Baseline (q=q0),negative,9,2.329187884191145e-08,1.705663094410575e-05,-14.333333333333334,0.0,1.0
8,exponential,exponential_alpha_0.15,Sequential Unguarded (B<=q0),positive,191,2.1762343834967014e-09,4.24854883643351e-06,13.780104712041885,13.780104712041885,0.0
8,exponential,exponential_alpha_0.15,Sequential Unguarded (B<=q0),negative,9,3.848379503660886e-06,9.071160766819612e-05,-14.333333333333334,-14.333333333333334,0.0
8,exponential,exponential_alpha_0.15,"Sequential Symmetric Guard [-4,+4]",positive,191,1.913135645605582e-08,1.5439276516670773e-05,13.780104712041885,3.9842931937172774,0.9842931937172775
8,exponential,exponential_alpha_0.15,"Sequential Symmetric Guard [-4,+4]",negative,9,2.3874115381028276e-07,4.1756001008609935e-05,-14.333333333333334,-3.5555555555555554,0.7777777777777778
8,exponential,exponential_alpha_0.15,"Sequential Asymmetric Guard [0,+4]",positive,191,1.913135645605582e-08,1.5439276516670773e-05,13.780104712041885,3.9842931937172774,0.9842931937172775
8,exponential,exponential_alpha_0.15,"Sequential Asymmetric Guard [0,+4]",negative,9,2.329187884191145e-08,1.705663094410575e-05,-14.333333333333334,0.0,1.0
9,step,step_r_5_eta_0.001,Sequential Forced Baseline (q=q0),positive,200,1.5553184863644648e-06,0.0001590365566956048,13.0,0.0,1.0
9,step,step_r_5_eta_0.001,Sequential Unguarded (B<=q0),positive,200,4.143821893298901e-06,0.0002435024167364862,13.0,13.0,0.0
9,step,step_r_5_eta_0.001,"Sequential Symmetric Guard [-4,+4]",positive,200,2.8509039514969014e-06,0.00021121775751596893,13.0,4.0,1.0
9,step,step_r_5_eta_0.001,"Sequential Asymmetric Guard [0,+4]",positive,200,2.8509039514969014e-06,0.00021121775751596893,13.0,4.0,1.0
10,step,step_r_5_eta_0.05,Sequential Forced Baseline (q=q0),negative,200,0.005317766905614358,0.001512498861012378,-2.0,0.0,1.0
10,step,step_r_5_eta_0.05,Sequential Unguarded (B<=q0),negative,200,0.004364951028937175,0.0016478702324441898,-2.0,-2.0,0.0
10,step,step_r_5_eta_0.05,"Sequential Symmetric Guard [-4,+4]",negative,200,0.004364951028937175,0.0016478702324441898,-2.0,-2.0,0.0
10,step,step_r_5_eta_0.05,"Sequential Asymmetric Guard [0,+4]",negative,200,0.005317766905614358,0.001512498861012378,-2.0,0.0,1.0
11,step,step_r_5_eta_0.1,Sequential Forced Baseline (q=q0),negative,197,0.01833553259353195,0.0016833065793915095,-6.532994923857868,0.0,1.0
11,step,step_r_5_eta_0.1,Sequential Forced Baseline (q=q0),zero,3,0.015072670516843323,0.0014768713547695838,0.0,0.0,0.0
11,step,step_r_5_eta_0.1,Sequential Unguarded (B<=q0),negative,197,0.014585745055956898,0.0012736330786448057,-6.532994923857868,-6.532994923857868,0.0
11,step,step_r_5_eta_0.1,Sequential Unguarded (B<=q0),zero,3,0.015072670516843323,0.0014768713547695838,0.0,0.0,0.0
11,step,step_r_5_eta_0.1,"Sequential Symmetric Guard [-4,+4]",negative,197,0.015046554240030638,0.0015729977778484213,-6.532994923857868,-3.83248730964467,0.9441624365482234
