setup_index,spectrum_family,setup_name,matrix_seed,q,mean_oracle_risk,se_oracle_risk,additive_regret_oracle,baseline_normalized_additive_regret_oracle,multiplicative_regret_oracle,minimum_q_smallest_oracle,minimum_q_largest_oracle,minimum_q_count_oracle,minimum_is_zero_oracle,minimum_is_plateau_oracle,mean_gaussian_risk,se_gaussian_risk,additive_regret_gaussian,baseline_normalized_additive_regret_gaussian,multiplicative_regret_gaussian,minimum_q_smallest_gaussian,minimum_q_largest_gaussian,minimum_q_count_gaussian,minimum_is_zero_gaussian,minimum_is_plateau_gaussian,mean_rademacher_risk,se_rademacher_risk,additive_regret_rademacher,baseline_normalized_additive_regret_rademacher,multiplicative_regret_rademacher,minimum_q_smallest_rademacher,minimum_q_largest_rademacher,minimum_q_count_rademacher,minimum_is_zero_rademacher,minimum_is_plateau_rademacher
0,power,power_c_0.3,42000,0,0.35109322804254217,3.935081177621402e-18,0.016591368464064227,0.04725630441967352,0.04960022788803564,6,6,1,False,False,0.35109322804254234,3.935081177621402e-18,0.0,0.0,0.0,0,0,1,False,False,0.0490492730739656,0.0,0.0,0.0,0.0,0,0,1,False,False
0,power,power_c_0.3,42000,1,0.3428792182709287,0.0,0.008377358692450765,0.02386078119238368,0.025044281377112565,6,6,1,False,False,0.3532307062235111,5.461965526907753e-05,0.002137478180968766,0.006088064394992447,0.006088064394992543,0,0,1,False,False,0.04916469999429863,4.0783345906581535e-05,0.00011542692033302687,0.002353285035620502,0.0023532850356204893,0,0,1,False,False
0,power,power_c_0.3,42000,2,0.33881672164124266,3.935081177621402e-18,0.004314862062764713,0.012289790056109764,0.012899366443589022,6,6,1,False,False,0.35547222843434234,7.617571158777085e-05,0.004379000391800003,0.012472471816714719,0.012472471816714625,0,0,1,False,False,0.049316140460712615,5.6041882272563114e-05,0.0002668673867470134,0.005440802075590013,0.005440802075590057,0,0,1,False,False
0,power,power_c_0.3,42000,3,0.33649899259798877,3.935081177621402e-18,0.0019971330195108217,0.00568832680324107,0.005970469108983467,6,6,1,False,False,0.3578950409455503,8.759440815626282e-05,0.006801812903007964,0.019373238672048047,0.019373238672047988,0,0,1,False,False,0.04956394761778949,6.40546107325635e-05,0.0005146745438238884,0.010493010631325086,0.010493010631325017,0,0,1,False,False
0,power,power_c_0.3,42000,4,0.335199304584172,3.935081177621402e-18,0.0006974450056940751,0.0019864951813014326,0.002085025794992479,6,6,1,False,False,0.36031714157911976,0.00010226593087658848,0.009223913536577422,0.026271977924506563,0.02627197792450664,0,0,1,False,False,0.04976579690488583,7.40758178470854e-05,0.0007165238309202251,0.014608245668385696,0.014608245668385589,0,0,1,False,False
0,power,power_c_0.3,42000,5,0.3345922181420519,3.935081177621402e-18,9.035856357397787e-05,0.00025736344753146044,0.0002701287331789981,6,6,1,False,False,0.3628959388089433,0.00010752023657193755,0.011802710766400937,0.03361702768294577,0.03361702768294572,0,0,1,False,False,0.05003444543623815,7.76559487397516e-05,0.0009851723622725447,0.020085361118133575,0.020085361118133527,0,0,1,False,False
0,power,power_c_0.3,42000,6,0.33450185957847794,3.935081177621402e-18,0.0,0.0,0.0,6,6,1,False,False,0.36574476753987484,0.0001122378905613919,0.0146515394973325,0.0417311936747386,0.041731193674738654,0,0,1,False,False,0.05044818092473382,8.022410376643149e-05,0.0013989078507682176,0.028520460408428164,0.02852046040842815,0,0,1,False,False
0,power,power_c_0.3,42000,7,0.3348220290355553,0.0,0.0003201694570773572,0.0009119214826853969,0.0009571529960425984,6,6,1,False,False,0.3686569163026644,0.00011445332664521889,0.017563688260122057,0.050025710715200254,0.05002571071520023,0,0,1,False,False,0.05086468221617901,8.095767514000276e-05,0.0018154091422134047,0.0370119479543722,0.03701194795437224,0,0,1,False,False
0,power,power_c_0.3,42000,8,0.33548379903953157,3.935081177621402e-18,0.000981939461053627,0.0027968054710945456,0.0029355276598193036,6,6,1,False,False,0.3716486203612679,0.00011755899865447613,0.02055539231872555,0.05854682083539029,0.05854682083539031,0,0,1,False,False,0.05128763278965494,8.230200662811234e-05,0.0022383597156893364,0.045634921282399474,0.04563492128239943,0,0,1,False,False
0,power,power_c_0.3,42000,9,0.336440183243092,0.0,0.00193832366461405,0.0055208232736952195,0.005794657366199996,6,6,1,False,False,0.37476074588453023,0.00011729148104385877,0.023667517841987895,0.0674109209509449,0.06741092095094481,0,0,1,False,False,0.051751171227699684,8.180741973335114e-05,0.002701898153734082,0.055085386273913954,0.05508538627391402,0,0,1,False,False
