rank_index,step_rank,basis_trial,eta,budget,action,q,r_actual,ell,orientation_seed,basis_seed,reconstruction_query_count,exact_sigma2,exact_rademacher_energy,exact_gaussian_energy,exact_risk,frozen_rademacher_energy,frozen_risk,frozen_energy_abs_error,frozen_risk_abs_error,projector_error_op,orthogonality_error
0,5,0,1e-10,80,km1,4,4,72,52000,70000,8,1.9889928609589016,0.9944964304794508,1.0000000000000007,0.02762490084665141,0.9944964304794508,0.0276249008466514,0.0,1.0408340855860843e-17,8.04980786522403e-16,4.484439495401206e-16
0,5,0,1e-10,80,k,5,5,70,52000,70000,10,9.866058195128288e-20,4.933029097564144e-20,4.950000864231424e-18,1.4094368850183268e-21,4.933029097564144e-20,1.4094368850183268e-21,0.0,0.0,8.05494264256506e-16,4.484441191469591e-16
0,5,0,1e-10,80,kp1,6,6,68,52000,70000,12,1.1822050474238205e-19,5.911025237119102e-20,4.940000004788861e-18,1.7385368344467947e-21,5.911025237119102e-20,1.7385368344467947e-21,0.0,0.0,9.90500654277639e-16,4.505798412206529e-16
0,5,0,1e-10,80,kp2,7,7,66,52000,70000,14,1.3762188001117944e-19,6.881094000558972e-20,4.930000002570885e-18,2.0851800001693856e-21,6.881094000558972e-20,2.0851800001693856e-21,0.0,0.0,1.6293595034975263e-15,4.506064726308355e-16
0,5,0,1e-10,160,km1,4,4,152,52000,70000,8,1.9889928609589016,0.9944964304794508,1.0000000000000007,0.013085479348413826,0.9944964304794508,0.0130854793484138,0.0,2.6020852139652106e-17,8.04980786522403e-16,4.484439495401206e-16
0,5,0,1e-10,160,k,5,5,150,52000,70000,10,9.866058195128288e-20,4.933029097564144e-20,4.950000864231424e-18,6.577372130085525e-22,4.933029097564144e-20,6.577372130085526e-22,0.0,9.4039548065783e-38,8.05494264256506e-16,4.484441191469591e-16
0,5,0,1e-10,160,kp1,6,6,148,52000,70000,12,1.1822050474238205e-19,5.911025237119102e-20,4.940000004788861e-18,7.987871942052841e-22,5.911025237119102e-20,7.987871942052842e-22,0.0,9.4039548065783e-38,9.90500654277639e-16,4.505798412206529e-16
0,5,0,1e-10,160,kp2,7,7,146,52000,70000,14,1.3762188001117944e-19,6.881094000558972e-20,4.930000002570885e-18,9.426156165149277e-22,6.881094000558972e-20,9.426156165149276e-22,0.0,1.88079096131566e-37,1.6293595034975263e-15,4.506064726308355e-16
0,5,0,1e-10,240,km1,4,4,232,52000,70000,8,1.9889928609589016,0.9944964304794508,1.0000000000000007,0.008573245090340093,0.9944964304794508,0.00857324509034,0.0,9.367506770274758e-17,8.04980786522403e-16,4.484439495401206e-16
0,5,0,1e-10,240,k,5,5,230,52000,70000,10,9.866058195128288e-20,4.933029097564144e-20,4.950000864231424e-18,4.289590519620994e-22,4.933029097564144e-20,4.289590519620994e-22,0.0,0.0,8.05494264256506e-16,4.484441191469591e-16
