matrix_name,family,param,trial,gamma_gap,tau_ratio,gap_loc,kappa,decay_slope,top4_energy
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,0,0.04093012566634291,1.0417793093671572,1,1.1416640349197877,-0.07042421811363285,0.519021713581438
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,1,0.0891958139927615,1.093294717771485,4,1.2095320474536249,-0.09983659472556812,0.5313248388233063
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,2,0.08059092796236317,1.0839274014714535,2,1.1804229824427652,-0.09294267399865438,0.525508827866786
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,3,0.13080188064764317,1.1397419540045677,1,1.1955684997959464,-0.07978326447376646,0.5181085156761087
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,4,0.08641631434146582,1.090260124763455,1,1.2324763459940444,-0.10923618420624051,0.5309326152080489
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,5,0.06322475947098899,1.0652662410031801,1,1.1456540621018334,-0.06927464218825992,0.5187647991656261
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,6,0.03871969392303115,1.0394790705092831,3,1.1242964487683782,-0.0642008377132762,0.5169712516955752
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,7,0.0620321355751795,1.063996536319331,2,1.1453308386498047,-0.07184133493174837,0.5187753091050945
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,8,0.09395880944712987,1.0985144965658078,3,1.1793548237053904,-0.09953376888488863,0.5282756613827865
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,9,0.08031895316297666,1.0836326406194674,2,1.203830623673552,-0.09663008213961995,0.5230082773245134
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,10,0.07443416881199724,1.0772744229328206,1,1.1846184471337988,-0.08566756658313641,0.5225111575662457
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,11,0.04959780450818607,1.0508483648964335,4,1.1563566221908421,-0.07787764123117488,0.5233703997943604
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,12,0.03788792060734836,1.0386148190367066,1,1.1086688187230533,-0.05444361981567308,0.5145840915081368
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,13,0.06422629570554222,1.066333678192276,1,1.136645981886669,-0.06132340470529734,0.5131924017603829
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,14,0.10219925250213457,1.1076041426393832,1,1.194269688884011,-0.08490446585977254,0.5212811741998133
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,15,0.08193812523638436,1.0853886495856842,1,1.1897233765559256,-0.08610690575375828,0.522589334405434
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,16,0.04436314524453777,1.0453619041728353,1,1.108882721332951,-0.052884026781895355,0.5153658882977125
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,17,0.05097043301404819,1.0522917797269709,2,1.1290712701602263,-0.06509400437035241,0.5167935187871375
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,18,0.08844056367042413,1.0924693183143155,1,1.1548511964635724,-0.06793099087757798,0.5187116506744271
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,19,0.06306328988891835,1.0650942467947415,3,1.1378890721953265,-0.07363398399327954,0.5212401157882882
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,20,0.08474474555221434,1.0884392022893157,1,1.1652074201548124,-0.07210724784063151,0.5156444869687034
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,21,0.025568496749965863,1.0258981745545954,1,1.0824970572030215,-0.042325347444107334,0.5115899602826023
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,22,0.04518770356657803,1.0462242214970705,1,1.1467533936986565,-0.07212308555689034,0.5192087497623196
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,23,0.07723367355122307,1.0802944831493044,1,1.1683586161922668,-0.07696403789018962,0.5206618063022639
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,24,0.04718635764250184,1.0483173528276568,1,1.163582935571235,-0.08046068185473934,0.5228698251982283
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,25,0.04370792994890843,1.044677191405388,1,1.1056222904997874,-0.04986185553982454,0.5122258717558409
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,26,0.0635986074924556,1.0656645631310449,1,1.1645287427632378,-0.07664118215524933,0.5189054586814695
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,27,0.06607626807997602,1.0683081918736108,1,1.1708257389144443,-0.08023699053716771,0.5200181030130938
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,28,0.03229224671157499,1.0328192992476832,2,1.0949772723230715,-0.04769794915403058,0.5130777559036628
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,29,0.07104384492674654,1.0736282979904914,1,1.1890884392856524,-0.08690959205085239,0.5205202585442326
