spectrum_index,rank_index,setup_name,step_rank,eta,orientation_seed,budget,analysis_role,risk_name,q,bootstrap_count,bootstrap_frequency,bootstrap_samples,bootstrap_seed
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,15,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,16,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,17,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,18,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,19,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,20,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,21,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,22,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,23,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,24,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,25,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,26,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,27,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,28,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,29,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,30,0,0.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,31,0,0.0,20000,20260816
