step_rank,stratum,paths,true_better_paths,mean_pairing_variance_ratio,mean_covariance_contribution,true_better_zero_radius_acceptance
5,top1,2,2,0.9954700419521352,0.0045299580478648715,1.0
5,top5,10,10,0.8715368279469565,0.1284631720530435,0.9295
5,top10,20,11,0.5595210070450806,0.4404789929549195,0.9027272727272727
15,top1,2,2,0.9998164560770175,0.00018354392298246592,1.0
15,top5,10,10,0.8886802593890545,0.11131974061094548,0.906
15,top10,20,14,0.5648928723292593,0.43510712767074067,0.8064285714285715
30,top1,2,2,0.9996511823223014,0.000348817677698555,1.0
30,top5,10,10,0.9384783766763689,0.06152162332363094,0.9604999999999999
30,top10,20,12,0.6041918357467797,0.39580816425322035,0.8974999999999999
