eta,budget,s,pair,estimator,epsilon,rank_scope,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability
1e-10,80,4,left,paired_mean,0.5,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.0,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.0,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.0,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.0,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.2,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.2,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.2,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.2,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.3333333333333333,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.3333333333333333,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.3333333333333333,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.3333333333333333,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.5,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.5,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.5,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,sample_variance,0.5,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,primary,mom_w1,0.0,5,0.40112499999999995,0.598875,0.0,0.598875,0.40112499999999995,0.0,0.0,0.40112499999999995
1e-10,80,4,primary,mom_w1,0.0,15,0.446475,0.553525,0.0,0.5538249999999999,0.443825,0.0023499999999999997,0.0,0.446475
1e-10,80,4,primary,mom_w1,0.0,30,0.4645,0.5355,0.0,0.5355,0.4645,0.0,0.0,0.4645
1e-10,80,4,primary,mom_w1,0.0,equal_rank,0.4373666666666667,0.5626333333333333,0.0,0.5627333333333332,0.43648333333333333,0.0007833333333333333,0.0,0.4373666666666667
1e-10,80,4,primary,mom_w1,0.2,5,0.15875,0.3064,0.53485,0.3064,0.15875,0.0,0.0,0.15875
1e-10,80,4,primary,mom_w1,0.2,15,0.1191,0.1747,0.7062,0.17485,0.1177,0.0036,0.0,0.1191
1e-10,80,4,primary,mom_w1,0.2,30,0.08885,0.1202,0.79095,0.1202,0.08885,0.0,0.0,0.08885
1e-10,80,4,primary,mom_w1,0.2,equal_rank,0.12223333333333332,0.20043333333333332,0.6773333333333333,0.20048333333333335,0.12176666666666665,0.0012,0.0,0.12223333333333332
1e-10,80,4,primary,mom_w1,0.3333333333333333,5,0.095975,0.20435000000000003,0.699675,0.20435000000000003,0.095975,0.0,0.0,0.095975
1e-10,80,4,primary,mom_w1,0.3333333333333333,15,0.0616,0.09527499999999998,0.843125,0.09549999999999999,0.060625,0.004025,0.0,0.0616
1e-10,80,4,primary,mom_w1,0.3333333333333333,30,0.043025,0.05717500000000001,0.8997999999999999,0.05717500000000001,0.043025,0.0,0.0,0.043025
1e-10,80,4,primary,mom_w1,0.3333333333333333,equal_rank,0.06686666666666667,0.11893333333333335,0.8142,0.11900833333333334,0.06654166666666668,0.0013416666666666666,0.0,0.06686666666666667
1e-10,80,4,primary,mom_w1,0.5,5,0.052425,0.12179999999999999,0.825775,0.12179999999999999,0.052425,0.0,0.0,0.052425
1e-10,80,4,primary,mom_w1,0.5,15,0.030300000000000004,0.04647500000000001,0.9232250000000001,0.046675,0.02965,0.00435,0.0,0.030300000000000004
1e-10,80,4,primary,mom_w1,0.5,30,0.0193,0.024625000000000005,0.9560749999999999,0.024625000000000005,0.0193,0.0,0.0,0.0193
1e-10,80,4,primary,mom_w1,0.5,equal_rank,0.034008333333333335,0.06430000000000001,0.9016916666666667,0.06436666666666667,0.033791666666666664,0.00145,0.0,0.034008333333333335
1e-10,80,4,primary,mom_w2,0.0,5,0.40112499999999995,0.598875,0.0,0.598875,0.40112499999999995,0.0,0.0,0.40112499999999995
1e-10,80,4,primary,mom_w2,0.0,15,0.446475,0.553525,0.0,0.5538249999999999,0.443825,0.0023499999999999997,0.0,0.446475
1e-10,80,4,primary,mom_w2,0.0,30,0.4645,0.5355,0.0,0.5355,0.4645,0.0,0.0,0.4645
1e-10,80,4,primary,mom_w2,0.0,equal_rank,0.4373666666666667,0.5626333333333333,0.0,0.5627333333333332,0.43648333333333333,0.0007833333333333333,0.0,0.4373666666666667
1e-10,80,4,primary,mom_w2,0.2,5,0.15875,0.3064,0.53485,0.3064,0.15875,0.0,0.0,0.15875
1e-10,80,4,primary,mom_w2,0.2,15,0.1191,0.1747,0.7062,0.17485,0.1177,0.0036,0.0,0.1191
1e-10,80,4,primary,mom_w2,0.2,30,0.08885,0.1202,0.79095,0.1202,0.08885,0.0,0.0,0.08885
1e-10,80,4,primary,mom_w2,0.2,equal_rank,0.12223333333333332,0.20043333333333332,0.6773333333333333,0.20048333333333335,0.12176666666666665,0.0012,0.0,0.12223333333333332
1e-10,80,4,primary,mom_w2,0.3333333333333333,5,0.095975,0.20435000000000003,0.699675,0.20435000000000003,0.095975,0.0,0.0,0.095975
1e-10,80,4,primary,mom_w2,0.3333333333333333,15,0.0616,0.09527499999999998,0.843125,0.09549999999999999,0.060625,0.004025,0.0,0.0616
1e-10,80,4,primary,mom_w2,0.3333333333333333,30,0.043025,0.05717500000000001,0.8997999999999999,0.05717500000000001,0.043025,0.0,0.0,0.043025
1e-10,80,4,primary,mom_w2,0.3333333333333333,equal_rank,0.06686666666666667,0.11893333333333335,0.8142,0.11900833333333334,0.06654166666666668,0.0013416666666666666,0.0,0.06686666666666667
1e-10,80,4,primary,mom_w2,0.5,5,0.052425,0.12179999999999999,0.825775,0.12179999999999999,0.052425,0.0,0.0,0.052425
1e-10,80,4,primary,mom_w2,0.5,15,0.030300000000000004,0.04647500000000001,0.9232250000000001,0.046675,0.02965,0.00435,0.0,0.030300000000000004
1e-10,80,4,primary,mom_w2,0.5,30,0.0193,0.024625000000000005,0.9560749999999999,0.024625000000000005,0.0193,0.0,0.0,0.0193
1e-10,80,4,primary,mom_w2,0.5,equal_rank,0.034008333333333335,0.06430000000000001,0.9016916666666667,0.06436666666666667,0.033791666666666664,0.00145,0.0,0.034008333333333335
1e-10,80,4,primary,paired_mean,0.0,5,0.40112499999999995,0.598875,0.0,0.598875,0.40112499999999995,0.0,0.0,0.40112499999999995
1e-10,80,4,primary,paired_mean,0.0,15,0.446475,0.553525,0.0,0.5538249999999999,0.443825,0.0023499999999999997,0.0,0.446475
1e-10,80,4,primary,paired_mean,0.0,30,0.4645,0.5355,0.0,0.5355,0.4645,0.0,0.0,0.4645
1e-10,80,4,primary,paired_mean,0.0,equal_rank,0.4373666666666667,0.5626333333333333,0.0,0.5627333333333332,0.43648333333333333,0.0007833333333333333,0.0,0.4373666666666667
1e-10,80,4,primary,paired_mean,0.2,5,0.15875,0.3064,0.53485,0.3064,0.15875,0.0,0.0,0.15875
1e-10,80,4,primary,paired_mean,0.2,15,0.1191,0.1747,0.7062,0.17485,0.1177,0.0036,0.0,0.1191
1e-10,80,4,primary,paired_mean,0.2,30,0.08885,0.1202,0.79095,0.1202,0.08885,0.0,0.0,0.08885
1e-10,80,4,primary,paired_mean,0.2,equal_rank,0.12223333333333332,0.20043333333333332,0.6773333333333333,0.20048333333333335,0.12176666666666665,0.0012,0.0,0.12223333333333332
