setup_index,spectrum_family,setup_name,spectral_parameters,matrix_seed,method,trial_index,trial_seed,exact_trace,estimate,squared_error,relative_error,b_final,r_pilot_actual,q_0,q_adapt_raw,q_target,delta_q_raw,delta_q_safe,delta_q_category,r_actual,ell_eff,guard_intervention,guard_relaxed_for_pilot_floor,pilot_cap_applied,max_adjacent_log_gap,gap_location,stop_reason,query_count
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),22,50022,109.88142805312557,109.2664987469734,0.3781380515647984,0.0055962988199868575,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),23,50023,109.88142805312557,109.27904454251609,0.3628658938542076,0.005482123060124811,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),24,50024,109.88142805312557,109.17611846732407,0.4974616118234853,0.0064188243481919215,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),25,50025,109.88142805312557,109.99020145841246,0.011831653697704399,0.0009899161961591239,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),26,50026,109.88142805312557,109.42455750180977,0.20873070065960508,0.004157850506774576,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),27,50027,109.88142805312557,109.65626777921992,0.050697148945270915,0.002049120382716516,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),28,50028,109.88142805312557,110.0837160059928,0.040920415875212016,0.001840965816074224,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),29,50029,109.88142805312557,109.58705294560195,0.08665670392954326,0.002679025134086317,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),30,50030,109.88142805312557,109.96188297965286,0.006472995202510207,0.0007321976784683097,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
0,power,power_c_0.3,"{""c"": 0.3}",42000,Hutch++ (Standard),31,50031,109.88142805312557,109.74804084064901,0.017792148452267866,0.0012139195389058214,0,0,53,53,53,0,0,zero,53,54,False,False,False,,0,not_applicable,160
