setup_index,spectrum_family,setup_name,matrix_seed,q,observations,r_actual,ell,mean_oracle_risk,se_oracle_risk,ci_low_oracle_risk,ci_high_oracle_risk,mean_gaussian_risk,se_gaussian_risk,ci_low_gaussian_risk,ci_high_gaussian_risk,mean_rademacher_risk,se_rademacher_risk,ci_low_rademacher_risk,ci_high_rademacher_risk
0,power,power_c_0.3,42000,0,200,0,160,0.35109322804254217,3.935081177621402e-18,0.35109322804254217,0.35109322804254217,0.35109322804254234,7.870162355242804e-18,0.35109322804254234,0.35109322804254234,0.0490492730739656,0.0,0.0490492730739656,0.0490492730739656
0,power,power_c_0.3,42000,1,200,1,158,0.3428792182709287,0.0,0.3428792182709287,0.3428792182709287,0.3532307062235111,5.461965526907752e-05,0.3531236516991837,0.3533377607478385,0.04916469999429866,4.078334590658175e-05,0.04908476463632176,0.049244635352275565
0,power,power_c_0.3,42000,2,200,2,156,0.33881672164124266,3.935081177621402e-18,0.33881672164124266,0.33881672164124266,0.35547222843434234,7.617571158777092e-05,0.3553229240396303,0.3556215328290544,0.049316140460712664,5.6041882272563114e-05,0.04920629837145844,0.049425982549966885
0,power,power_c_0.3,42000,3,200,3,154,0.33649899259798877,3.935081177621402e-18,0.33649899259798877,0.33649899259798877,0.3578950409455504,8.759440815626271e-05,0.35772335590556414,0.3580667259855367,0.04956394761778953,6.405461073256339e-05,0.04943840058075371,0.049689494654825354
0,power,power_c_0.3,42000,4,200,4,152,0.335199304584172,3.935081177621402e-18,0.335199304584172,0.335199304584172,0.36031714157911987,0.00010226593087658866,0.36011670035460175,0.360517582803638,0.04976579690488588,7.407581784708557e-05,0.049620608301905594,0.04991098550786617
0,power,power_c_0.3,42000,5,200,5,150,0.3345922181420521,3.935081177621402e-18,0.3345922181420521,0.3345922181420521,0.3628959388089433,0.0001075202365719377,0.36268519914526226,0.3631066784726243,0.05003444543623818,7.765594873975146e-05,0.04988223977670827,0.050186651095768094
0,power,power_c_0.3,42000,6,200,6,148,0.33450185957847794,3.935081177621402e-18,0.33450185957847794,0.33450185957847794,0.36574476753987495,0.00011223789056139176,0.3655247812743746,0.3659647538053753,0.05044818092473387,8.02241037664317e-05,0.05029094168135166,0.050605420168116075
0,power,power_c_0.3,42000,7,200,7,146,0.3348220290355553,0.0,0.3348220290355553,0.3348220290355553,0.3686569163026644,0.00011445332664521871,0.36843258778243976,0.36888124482288903,0.05086468221617904,8.095767514000266e-05,0.050706005172904633,0.05102335925945345
0,power,power_c_0.3,42000,8,200,8,144,0.33548379903953157,3.935081177621402e-18,0.33548379903953157,0.33548379903953157,0.371648620361268,0.00011755899865447612,0.37141820472390524,0.37187903599863076,0.05128763278965497,8.230200662811226e-05,0.051126320856663875,0.05144894472264607
0,power,power_c_0.3,42000,9,200,9,142,0.336440183243092,3.935081177621402e-18,0.336440183243092,0.336440183243092,0.37476074588453023,0.00011729148104385876,0.3745308545816843,0.3749906371873762,0.05175117122769972,8.180741973335121e-05,0.05159082868502235,0.05191151377037709
