eta,budget,s,pair,estimator,epsilon,truth_ties,abstention_rate,false_safe,false_safe_eligible_by_rank,false_rejection,false_rejection_eligible_by_rank,better_acceptance,better_acceptance_eligible_by_rank,coverage,coverage_eligible_by_rank
1e-10,80,4,primary,sample_variance,0.3333333333333333,0,0.8813916666666667,0.025766164154103852,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.11860833333333336,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,sample_variance,0.5,0,0.94735,0.01023249581239531,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.05265,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,paired_mean,0.0,0,0.0,0.3357213567839196,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,paired_mean,0.2,0,0.6669166666666667,0.10789589614740369,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.33308333333333334,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,paired_mean,0.3333333333333333,0,0.8095333333333333,0.06049359296482412,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.19046666666666667,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,paired_mean,0.5,0,0.8994833333333333,0.031505485762144056,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.10051666666666668,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,mom_w1,0.0,0,0.0,0.3357213567839196,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,mom_w1,0.2,0,0.6669166666666667,0.10789589614740369,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.33308333333333334,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,mom_w1,0.3333333333333333,0,0.8095333333333333,0.06049359296482412,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.19046666666666667,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,mom_w1,0.5,0,0.8994833333333333,0.031505485762144056,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",0.10051666666666668,"{""15"": 200, ""30"": 200, ""5"": 200}"
1e-10,80,4,primary,mom_w2,0.0,0,0.0,0.3357213567839196,"{""15"": 199, ""30"": 200, ""5"": 200}",,"{""15"": 1, ""30"": 0, ""5"": 0}",,"{""15"": 1, ""30"": 0, ""5"": 0}",1.0,"{""15"": 200, ""30"": 200, ""5"": 200}"
