family,trial,r2_power,r2_exp,r2_step,selected_model,true_family,q_power,q_exp,q_step,q_multi,q_0,q_star_emp,failure_mode
Power-Law (c=2.0),37,0.9861911935283124,0.9543208950889395,0.95,step_gap,power_law,63,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),38,0.9939309724140326,0.9414533296124694,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),39,0.9981562539579643,0.9277524814588766,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),40,0.9930368900054667,0.9444148541357753,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),41,0.992201964922726,0.9415250084220266,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),42,0.996494686439025,0.9326445623287505,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),43,0.9978509890952802,0.9260686026614912,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),44,0.9915917102346372,0.9407144418913683,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),45,0.9920316317337714,0.9408086756356325,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),46,0.9917606318477035,0.944949237187409,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),47,0.989782450265943,0.9485944439679566,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),48,0.9915840290928816,0.9325735977774854,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),49,0.9877808447475048,0.9428675037282311,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),50,0.9906845847248918,0.9435292418573051,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),51,0.9911153863846897,0.9498052359185742,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),52,0.9916816212333589,0.939659116969695,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),53,0.9926621268885737,0.9401564235935149,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),54,0.9850738313567483,0.9536849564127857,0.95,step_gap,power_law,63,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),55,0.9965903986810011,0.9300846425067085,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),56,0.9929409580761269,0.9426182488905865,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),57,0.9961357706283511,0.9353117009476295,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),58,0.9974230717679837,0.927488039504557,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),59,0.988874454917037,0.9520156478234141,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),60,0.9962350777168778,0.929314778475013,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),61,0.9902386049572646,0.942275115231578,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),62,0.9960389144709791,0.9356644606518646,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),63,0.9904553230823279,0.9429910743558877,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),64,0.995852622561163,0.9334008744279484,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),65,0.9927689307456261,0.9274176183915377,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),66,0.9873881736581053,0.9514536748525002,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),67,0.9972954930324556,0.9311281661238556,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),68,0.9944864842531869,0.935775467805201,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),69,0.9932067885897065,0.933228710222701,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),70,0.9926934525258717,0.9396514115989593,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),71,0.9877568651528175,0.9525142861018538,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),72,0.9906101883719216,0.9453713729587309,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),73,0.9860012507993474,0.9499727419177404,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),74,0.9945102289323129,0.9373592983524554,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),75,0.9922772410445883,0.9391627852095366,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),76,0.9911023607284657,0.9405453048639881,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),77,0.9958043894712347,0.933762899158512,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),78,0.9918168690029083,0.9393810516453633,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),79,0.9845763700098668,0.9530350368062147,0.95,step_gap,power_law,63,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),80,0.9977342117439523,0.9277240624491369,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),81,0.9985109676962529,0.9181942666365043,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),82,0.9964183581428218,0.9294775837678597,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),83,0.9969247095556286,0.9321477450430277,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),84,0.9956878625033028,0.933415532073772,0.95,step_gap,power_law,61,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),85,0.9917446808480199,0.9469197132582337,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),86,0.9946731932318658,0.941339496171045,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),87,0.9832973497988663,0.9550471373509837,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),88,0.9897829856123872,0.9359486470377056,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),89,0.988831890288499,0.9529913859976988,0.95,step_gap,power_law,63,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),90,0.986816034961425,0.9548767906235587,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),91,0.9886935572860676,0.9505393950568993,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),92,0.9786819996619677,0.9503004773171239,0.95,step_gap,power_law,63,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),93,0.993485689274108,0.9456567467841357,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),94,0.9916116839487391,0.9411952158345201,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),95,0.9906011780292993,0.934297616577972,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),96,0.993981136440622,0.9380494334359407,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),97,0.9922723365126027,0.9463773939686246,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),98,0.9929713932354597,0.9387612648452899,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=2.0),99,0.9915968144197289,0.9434688875765954,0.95,step_gap,power_law,62,79,10,10,53,62,Failure_A (Wrong Family Selected)
Power-Law (c=0.5),0,0.9834086388773761,0.9092436412360418,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),1,0.9841516884930017,0.9225050926175561,0.0,power_law,power_law,37,77,10,37,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),2,0.9710575105958809,0.9133186174936643,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),3,0.9787420064547664,0.9481502057873944,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),4,0.9850561858597613,0.9158897227536369,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),5,0.9804163584646572,0.9300081439167962,0.0,power_law,power_law,30,77,10,30,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),6,0.9937268303583289,0.8701665427912542,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),7,0.9783415685493115,0.9259808618625582,0.0,power_law,power_law,36,77,10,36,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),8,0.9824975283224061,0.8930390511542888,0.0,power_law,power_law,36,77,10,36,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),9,0.9884411231398862,0.8979656130601724,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),10,0.9866136368633284,0.932317997642322,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),11,0.9929014425610739,0.9146710520191448,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),12,0.983226360894271,0.8905653956499076,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),13,0.9871454156920361,0.9331370044989483,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),14,0.963690253644925,0.950917954692346,0.0,power_law,power_law,28,77,10,28,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),15,0.9818034175373247,0.9579435175618158,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),16,0.989140773275026,0.8906397038639804,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),17,0.9911985293300036,0.926423097993647,0.0,power_law,power_law,36,77,10,36,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),18,0.9889219403302352,0.9001053813314505,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),19,0.9838953620690051,0.9188895454096839,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),20,0.9868507714906806,0.9138328060216467,0.0,power_law,power_law,29,77,10,29,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),21,0.9935388913377393,0.8858194893979228,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),22,0.9971124190485695,0.9130280840433512,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),23,0.9892815497645729,0.928357092241164,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),24,0.9870367731886571,0.9201485747954802,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),25,0.983669130269062,0.9573750936528046,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),26,0.9932800594684283,0.92165234106006,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),27,0.9685646285809084,0.9698800086661679,0.0,exponential,power_law,31,77,10,77,53,24,Failure_A (Wrong Family Selected)
Power-Law (c=0.5),28,0.9728913974937569,0.8622402506974466,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),29,0.9933896695564031,0.8962748958391394,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),30,0.9847852076316367,0.9267925653078178,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),31,0.9542277747388807,0.8035985705519657,0.0,power_law,power_law,31,77,10,31,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),32,0.9843212844360891,0.9123109351683458,0.0,power_law,power_law,31,77,10,31,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),33,0.9707871087724844,0.8405473339329876,0.0,power_law,power_law,30,77,10,30,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),34,0.9776040302529733,0.93583928009241,0.0,power_law,power_law,31,77,10,31,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),35,0.9902710486391613,0.9157976061941575,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),36,0.9804010681637526,0.8783931896294569,0.0,power_law,power_law,31,77,10,31,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),37,0.9796290326068255,0.9540510271127934,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),38,0.9827569548446012,0.922415770525891,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),39,0.989298561788946,0.9368920160098174,0.0,power_law,power_law,31,77,10,31,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),40,0.9872419585570991,0.9120854806301224,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),41,0.9863388611487893,0.8535745903485417,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),42,0.9786198706186603,0.8490877023041931,0.0,power_law,power_law,29,77,10,29,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),43,0.997082524085425,0.9185103827418228,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),44,0.9593662589841152,0.9168375574986165,0.0,power_law,power_law,28,77,10,28,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),45,0.9853770000151408,0.8838138073254718,0.0,power_law,power_law,30,77,10,30,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),46,0.9855026410771596,0.900938217770137,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),47,0.9873525606344363,0.8788953864895402,0.0,power_law,power_law,28,77,10,28,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),48,0.9968958851907738,0.8813382436914586,0.0,power_law,power_law,30,77,10,30,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),49,0.9952684413845859,0.9156129759119618,0.0,power_law,power_law,30,77,10,30,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),50,0.9938845686582654,0.8999514111469289,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),51,0.9920596771212217,0.8713205544463098,0.0,power_law,power_law,32,77,10,32,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),52,0.9752561246299185,0.857108055472348,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),53,0.9857833564161899,0.8506541862989471,0.0,power_law,power_law,31,77,10,31,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),54,0.983893093872675,0.9097887609510634,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),55,0.9745654390688698,0.9564252839472749,0.0,power_law,power_law,31,77,10,31,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),56,0.9806957639812093,0.9453857718356324,0.0,power_law,power_law,34,77,10,34,53,24,Success (Near-Optimal Allocation)
Power-Law (c=0.5),57,0.995776778387511,0.9044652552594108,0.0,power_law,power_law,35,77,10,35,53,24,Failure_B (Extrapolated T(q) Allocation Error)
Power-Law (c=0.5),58,0.978013556359616,0.875739437918251,0.0,power_law,power_law,33,77,10,33,53,24,Failure_C (Oracle-vs-Randomized Risk Mismatch)
Power-Law (c=0.5),59,0.9941167584968812,0.8697037605877496,0.0,power_law,power_law,36,77,10,36,53,24,Failure_B (Extrapolated T(q) Allocation Error)
