spectrum_index,rank_index,setup_name,step_rank,eta,orientation_seed,budget,analysis_role,risk_name,representative_minimizer_q,minimum_q_smallest,minimum_q_largest,minimum_q_count,minimum_is_zero,minimum_is_plateau,minimum_mean_risk,mean_trial_minimizer_q,median_trial_minimizer_q,bootstrap_q_ci_low,bootstrap_q_ci_high,bootstrap_samples,bootstrap_seed
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,full_risk,5,5,5,1,False,False,1.4142857142857144e-11,5.0,5.0,5.0,5.0,20000,20260815
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,rank_risk,5,5,5,1,False,False,1.4142857142857144e-11,5.0,5.0,5.0,5.0,20000,20260816
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,gaussian_risk,6,6,6,1,False,False,1.4529890693952481e-11,5.04,5.0,5.0,6.0,20000,20260817
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,rademacher_risk,6,6,6,1,False,False,1.738053323099578e-13,5.06,5.0,6.0,6.0,20000,20260818
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,full_risk,5,5,5,1,False,False,6.599999999999998e-12,5.0,5.0,5.0,5.0,20000,20260815
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,rank_risk,5,5,5,1,False,False,6.599999999999998e-12,5.0,5.0,5.0,5.0,20000,20260816
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,gaussian_risk,6,6,6,1,False,False,6.6758957242484376e-12,5.055,5.0,5.0,6.0,20000,20260817
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,rademacher_risk,6,6,6,1,False,False,7.985650403430493e-14,5.06,5.0,6.0,6.0,20000,20260818
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,full_risk,5,5,5,1,False,False,4.304347826086957e-12,5.0,5.0,5.0,5.0,20000,20260815
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,rank_risk,5,5,5,1,False,False,4.304347826086957e-12,5.0,5.0,5.0,5.0,20000,20260816
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,gaussian_risk,6,6,6,1,False,False,4.333476171880565e-12,5.06,5.0,5.0,6.0,20000,20260817
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,rademacher_risk,6,6,6,1,False,False,5.183667805735583e-14,5.06,5.0,6.0,6.0,20000,20260818
4,1,step_r15_eta_0,15,0.0,52001,80,sensitivity,full_risk,15,15,36,22,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260819
4,1,step_r15_eta_0,15,0.0,52001,80,sensitivity,rank_risk,15,15,36,22,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260820
4,1,step_r15_eta_0,15,0.0,52001,80,sensitivity,gaussian_risk,15,15,36,22,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260821
4,1,step_r15_eta_0,15,0.0,52001,80,sensitivity,rademacher_risk,15,15,36,22,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260822
4,1,step_r15_eta_0,15,0.0,52001,160,primary,full_risk,15,15,76,62,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260819
4,1,step_r15_eta_0,15,0.0,52001,160,primary,rank_risk,15,15,76,62,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260820
4,1,step_r15_eta_0,15,0.0,52001,160,primary,gaussian_risk,15,15,76,62,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260821
4,1,step_r15_eta_0,15,0.0,52001,160,primary,rademacher_risk,15,15,76,62,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260822
4,1,step_r15_eta_0,15,0.0,52001,240,sensitivity,full_risk,15,15,116,102,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260819
4,1,step_r15_eta_0,15,0.0,52001,240,sensitivity,rank_risk,15,15,116,102,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260820
4,1,step_r15_eta_0,15,0.0,52001,240,sensitivity,gaussian_risk,15,15,116,102,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260821
4,1,step_r15_eta_0,15,0.0,52001,240,sensitivity,rademacher_risk,15,15,116,102,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260822
5,1,step_r15_eta_1e-14,15,1e-14,52001,80,sensitivity,full_risk,15,15,15,1,False,False,1.9400000000000003e-27,15.0,15.0,15.0,15.0,20000,20260819
5,1,step_r15_eta_1e-14,15,1e-14,52001,80,sensitivity,rank_risk,15,15,15,1,False,False,1.9400000000000003e-27,15.0,15.0,15.0,15.0,20000,20260820
5,1,step_r15_eta_1e-14,15,1e-14,52001,80,sensitivity,gaussian_risk,15,15,15,1,False,False,1.9400000051552953e-27,15.0,15.0,15.0,15.0,20000,20260821
5,1,step_r15_eta_1e-14,15,1e-14,52001,80,sensitivity,rademacher_risk,15,15,15,1,False,False,5.796979350287142e-29,15.0,15.0,15.0,15.0,20000,20260822
5,1,step_r15_eta_1e-14,15,1e-14,52001,160,primary,full_risk,15,15,15,1,False,False,7.461538461538462e-28,15.0,15.0,15.0,15.0,20000,20260819
5,1,step_r15_eta_1e-14,15,1e-14,52001,160,primary,rank_risk,15,15,15,1,False,False,7.461538461538462e-28,15.0,15.0,15.0,15.0,20000,20260820
5,1,step_r15_eta_1e-14,15,1e-14,52001,160,primary,gaussian_risk,15,15,15,1,False,False,7.461538481366521e-28,15.0,15.0,15.0,15.0,20000,20260821
5,1,step_r15_eta_1e-14,15,1e-14,52001,160,primary,rademacher_risk,15,15,15,1,False,False,2.2296074424181312e-29,15.0,15.0,15.0,15.0,20000,20260822
5,1,step_r15_eta_1e-14,15,1e-14,52001,240,sensitivity,full_risk,15,15,15,1,False,False,4.619047619047619e-28,15.0,15.0,15.0,15.0,20000,20260819
5,1,step_r15_eta_1e-14,15,1e-14,52001,240,sensitivity,rank_risk,15,15,15,1,False,False,4.619047619047619e-28,15.0,15.0,15.0,15.0,20000,20260820
5,1,step_r15_eta_1e-14,15,1e-14,52001,240,sensitivity,gaussian_risk,15,15,15,1,False,False,4.619047631322132e-28,15.0,15.0,15.0,15.0,20000,20260821
5,1,step_r15_eta_1e-14,15,1e-14,52001,240,sensitivity,rademacher_risk,15,15,15,1,False,False,1.3802331786397956e-29,15.0,15.0,15.0,15.0,20000,20260822
6,1,step_r15_eta_1e-10,15,1e-10,52001,80,sensitivity,full_risk,15,15,15,1,False,False,1.94e-19,15.0,15.0,15.0,15.0,20000,20260819
6,1,step_r15_eta_1e-10,15,1e-10,52001,80,sensitivity,rank_risk,15,15,15,1,False,False,1.94e-19,15.0,15.0,15.0,15.0,20000,20260820
6,1,step_r15_eta_1e-10,15,1e-10,52001,80,sensitivity,gaussian_risk,15,15,15,1,False,False,1.940083860048589e-19,15.0,15.0,15.0,15.0,20000,20260821
6,1,step_r15_eta_1e-10,15,1e-10,52001,80,sensitivity,rademacher_risk,15,15,15,1,False,False,5.800350314065212e-21,15.005,15.0,15.0,15.0,20000,20260822
6,1,step_r15_eta_1e-10,15,1e-10,52001,160,primary,full_risk,15,15,15,1,False,False,7.461538461538463e-20,15.0,15.0,15.0,15.0,20000,20260819
6,1,step_r15_eta_1e-10,15,1e-10,52001,160,primary,rank_risk,15,15,15,1,False,False,7.461538461538463e-20,15.0,15.0,15.0,15.0,20000,20260820
6,1,step_r15_eta_1e-10,15,1e-10,52001,160,primary,gaussian_risk,15,15,15,1,False,False,7.461861000186881e-20,15.0,15.0,15.0,15.0,20000,20260821
6,1,step_r15_eta_1e-10,15,1e-10,52001,160,primary,rademacher_risk,15,15,15,1,False,False,2.230903966948158e-21,15.005,15.0,15.0,15.0,20000,20260822
6,1,step_r15_eta_1e-10,15,1e-10,52001,240,sensitivity,full_risk,15,15,15,1,False,False,4.619047619047621e-20,15.0,15.0,15.0,15.0,20000,20260819
6,1,step_r15_eta_1e-10,15,1e-10,52001,240,sensitivity,rank_risk,15,15,15,1,False,False,4.619047619047621e-20,15.0,15.0,15.0,15.0,20000,20260820
6,1,step_r15_eta_1e-10,15,1e-10,52001,240,sensitivity,gaussian_risk,15,15,15,1,False,False,4.6192472858299734e-20,15.005,15.0,15.0,15.0,20000,20260821
6,1,step_r15_eta_1e-10,15,1e-10,52001,240,sensitivity,rademacher_risk,15,15,15,1,False,False,1.3810357890631455e-21,15.005,15.0,15.0,15.0,20000,20260822
7,1,step_r15_eta_1e-06,15,1e-06,52001,80,sensitivity,full_risk,15,15,15,1,False,False,1.9400000000000002e-11,15.0,15.0,15.0,15.0,20000,20260819
7,1,step_r15_eta_1e-06,15,1e-06,52001,80,sensitivity,rank_risk,15,15,15,1,False,False,1.9400000000000002e-11,15.0,15.0,15.0,15.0,20000,20260820
7,1,step_r15_eta_1e-06,15,1e-06,52001,80,sensitivity,gaussian_risk,16,16,16,1,False,False,2.017101564827627e-11,15.04,15.0,15.0,16.0,20000,20260821
7,1,step_r15_eta_1e-06,15,1e-06,52001,80,sensitivity,rademacher_risk,16,16,16,1,False,False,6.437453427386228e-13,15.08,15.0,16.0,16.0,20000,20260822
7,1,step_r15_eta_1e-06,15,1e-06,52001,160,primary,full_risk,15,15,15,1,False,False,7.461538461538462e-12,15.0,15.0,15.0,15.0,20000,20260819
7,1,step_r15_eta_1e-06,15,1e-06,52001,160,primary,rank_risk,15,15,15,1,False,False,7.461538461538462e-12,15.0,15.0,15.0,15.0,20000,20260820
7,1,step_r15_eta_1e-06,15,1e-06,52001,160,primary,gaussian_risk,16,16,16,1,False,False,7.564130868103601e-12,15.07,15.0,15.0,16.0,20000,20260821
7,1,step_r15_eta_1e-06,15,1e-06,52001,160,primary,rademacher_risk,16,16,16,1,False,False,2.414045035269835e-13,15.1,15.0,16.0,16.0,20000,20260822
