orientation,trial,method,q,r,ell,query_count,signal_rank,exact_signal_rank,signal_sigma_min,signal_sigma_max,sketch_sigma_min,projection_error_op,projection_error_fro,largest_angle_degrees,orthogonality_error,energy_gaussian,energy_rademacher,risk_gaussian,risk_rademacher,estimate,squared_error,squared_error_over_risk,detected_knee,gap,contrast,ritz_values
0,0,hpp,20,20,20,60,5,5.0,2.547299014603405,5.540792920711379,0.0065840996301749,0.0038935034308179,0.0054434111537122,0.2230818777380757,2.802009947487476e-15,8.00594893922351e-05,1.253950934745584e-05,8.00594893922351e-06,1.253950934745584e-06,5.095068585863141,4.7040206233840885e-09,0.003751359397757,,,,"[0.9999980650692848, 0.99999687955884, 0.9999956003189863, 0.9999949981682289, 0.9999848557904074, 0.0010000000000002552, 0.0010000000000001284, 0.0010000000000000718, 0.0010000000000000336, 0.0010000000000000057, 0.0010000000000000013, 0.0010000000000000009, 0.0009999999999999998, 0.0009999999999999994, 0.000999999999999999, 0.0009999999999999983, 0.0009999999999999961, 0.000999999999999971, 0.00099999999999996, 0.000999999999999832]"
0,0,gated,8,8,44,60,5,5.0,1.035276180410083,3.8637033051562737,0.0091064628374147,0.0096197111515188,0.0118875324607549,0.5511773502255413,4.863840093619901e-15,9.22917368554815e-05,2.8917103637189368e-06,4.1950789479764315e-06,1.3144138016904257e-07,5.095902704421261,8.148752721718783e-07,6.199533747468972,5.0,6.90766282840455,69076.6282840455,"[0.9999952979365958, 0.9999912959533991, 0.9999902362493517, 0.999974444049879, 0.9999075536962033, 0.0010000000000003678, 0.0010000000000000072, 0.0009999999999999224]"
0,1,hpp,20,20,20,60,5,5.0,2.441485777402083,6.393357436249027,0.0060651438001099,0.0040278408033219,0.0058831003203521,0.2307789025907768,3.046222478349395e-15,8.006952691178074e-05,1.2555738584210184e-05,8.006952691178074e-06,1.2555738584210185e-06,5.095376196488856,1.415237982312629e-07,0.1127164262636369,,,,"[0.9999985751380936, 0.9999965811488599, 0.9999950448086127, 0.9999914299239662, 0.9999837927219639, 0.0010000000000001128, 0.0010000000000000857, 0.0010000000000000438, 0.0010000000000000338, 0.0010000000000000085, 0.0010000000000000026, 0.0010000000000000015, 0.0010000000000000002, 0.0009999999999999996, 0.000999999999999999, 0.0009999999999999976, 0.0009999999999999955, 0.0009999999999999753, 0.0009999999999999619, 0.0009999999999998586]"
0,1,gated,8,8,44,60,5,5.0,1.5924504340362515,3.8042260651806146,0.0089490653493901,0.0049386625722433,0.0085852010563814,0.2829656721104746,3.5091686940676106e-15,9.21486286924469e-05,2.8724289699467497e-06,4.188574031474859e-06,1.305649531793977e-07,5.095717112662626,5.142505709058384e-07,3.93865703148725,5.0,6.907730912687626,69077.30912687625,"[0.9999935616973367, 0.999990795037373, 0.9999894982122407, 0.9999768790791683, 0.9999756340023862, 0.0010000000000000419, 0.00100000000000001, 0.0009999999999999265]"
0,2,hpp,20,20,20,60,5,5.0,3.1214221628255903,5.476925204089171,0.0063601162967311,0.0031506935391886,0.0047363040811075,0.1805217410047896,3.133422597073544e-15,8.004496148727782e-05,1.2561765387055828e-05,8.004496148727783e-06,1.2561765387055826e-06,5.095147675130949,2.1807944302259827e-08,0.0173605728417214,,,,"[0.9999980452371363, 0.9999974442143285, 0.9999965741245804, 0.9999954432230951, 0.9999900830570931, 0.0010000000000001418, 0.0010000000000000716, 0.001000000000000026, 0.0010000000000000024, 0.001000000000000001, 0.0010000000000000009, 0.0010000000000000002, 0.001, 0.0009999999999999996, 0.0009999999999999992, 0.0009999999999999983, 0.0009999999999999916, 0.000999999999999991, 0.0009999999999999627, 0.0009999999999998918]"
0,2,gated,8,8,44,60,5,5.0,1.218824616775646,3.921122812436572,0.0086808621691911,0.0080471470298615,0.0108077964180989,0.4610725382700326,3.360766122389028e-15,9.223850958847406e-05,2.8780736517619818e-06,4.192659526748821e-06,1.308215296255446e-07,5.095181379954862,3.289868802759534e-08,0.2514776285047461,5.0,6.9076905850706645,69076.90585070664,"[0.9999948523385289, 0.9999936721342276, 0.9999849145745039, 0.9999745611165356, 0.9999353081812541, 0.0010000000000001208, 0.0010000000000000894, 0.0009999999999999716]"
0,3,hpp,20,20,20,60,5,5.0,3.7872345782255983,5.0652595441391135,0.0065113173219108,0.0023188027677384,0.0043462147652707,0.1328577311741144,4.372433594463901e-15,8.003781780155708e-05,1.2542129762680632e-05,8.003781780155709e-06,1.2542129762680631e-06,5.093221823363891,3.161912149188588e-06,2.521032878002047,,,,"[0.9999975087430117, 0.9999968867768411, 0.9999965528575526, 0.9999955523988266, 0.9999946285305719, 0.0010000000000000783, 0.0010000000000000497, 0.0010000000000000208, 0.001000000000000012, 0.0010000000000000076, 0.001000000000000005, 0.0010000000000000013, 0.0009999999999999998, 0.0009999999999999996, 0.0009999999999999968, 0.0009999999999999926, 0.0009999999999999894, 0.000999999999999962, 0.0009999999999999129, 0.0009999999999997526]"
0,3,gated,8,8,44,60,5,5.0,0.8080616016709309,4.191703265596461,0.0089868543565696,0.0120372488167097,0.014195671071306,0.689700210556751,1.9621319617673516e-15,9.242480343035748e-05,2.9065338756238133e-06,4.201127428652613e-06,1.3211517616471878e-07,5.095477433854005,2.2794308495452485e-07,1.7253361163469183,5.0,6.907610518041057,69076.10518041057,"[0.9999949553355548, 0.9999926330254385, 0.9999870097608572, 0.999968836781781, 0.9998552495362836, 0.0010000000000000035, 0.0009999999999999313, 0.0009999999999998946]"
0,4,hpp,20,20,20,60,5,5.0,3.650991091411909,5.164326098382136,0.0063996788935794,0.0026261210272996,0.0047769288284176,0.1504658243033847,2.999813603248823e-15,8.004571044887959e-05,1.2551226960875951e-05,8.004571044887959e-06,1.255122696087595e-06,5.09539731421451,1.578585850551853e-07,0.1257714369656879,,,,"[0.9999978009172102, 0.9999967598733448, 0.9999952159880942, 0.9999943166065139, 0.9999931103848624, 0.0010000000000002485, 0.001000000000000103, 0.0010000000000000577, 0.0010000000000000278, 0.0010000000000000078, 0.0010000000000000059, 0.0010000000000000002, 0.0010000000000000002, 0.0009999999999999998, 0.0009999999999999983, 0.0009999999999999955, 0.0009999999999999874, 0.000999999999999971, 0.0009999999999999573, 0.0009999999999999478]"
0,4,gated,8,8,44,60,5,5.0,2.000000000000001,3.910435093711336,0.0091276218324039,0.0046325717335147,0.0084775553754172,0.2654277580062766,2.051129107980797e-15,9.214477877910772e-05,2.8716890804969815e-06,4.188399035413987e-06,1.3053132184077188e-07,5.095036559452911,1.33659359749503e-09,0.0102396388747634,5.0,6.9077338394921375,69077.33839492137,"[0.9999944429395125, 0.9999877563048668, 0.9999863874360426, 0.9999810555035316, 0.9999785607398551, 0.0010000000000000302, 0.000999999999999998, 0.0009999999999999638]"
