rank_index,step_rank,basis_trial,eta,budget,s,pair,estimator,epsilon,orientation_seed,basis_seed,candidate_action,baseline_action,q_candidate,r_candidate,q_baseline,r_baseline,candidate_cost,baseline_cost,committed_cost,extra_construction_cost,ell_original,ell_paid,accounting_feasible,cost_multiplier,net_numerator_threshold,sigma2_candidate,sigma2_baseline,risk_original_baseline,risk_paid_baseline,risk_paid_candidate,risk_paid_oracle,risk_paid_selected_mean,accept_probability,reject_probability,abstain_probability,paid_order_truth,net_benefit_truth,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability,catastrophic_top1,catastrophic_top5,catastrophic_top10,pathwise_net_ratio,path_harmed,finite_when_feasible
0,5,0,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70000,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1822174525843257e-11,1.0254527131039186e-11,6.83635142069279e-14,7.768581159878171e-14,8.956192822608528e-14,7.768581159878171e-14,7.774519218191794e-14,0.005,0.06,0.935,1,1,0.06,0.005,0.0,0.0,0.005,False,False,True,1.1372322368711598,True,True
0,5,1,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70001,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1817037221560411e-11,4.456472994205368e-10,2.970981996136912e-12,3.3761159047010363e-12,8.952300925424554e-14,8.952300925424554e-14,1.0595597373147965e-13,0.995,0.0,0.005,-1,-1,0.995,0.0,0.005,0.995,0.0,True,True,True,0.03566362026739016,False,True
0,5,2,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70002,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1816329375839966e-11,9.866924086493723e-12,6.577949390995816e-14,7.474942489767972e-14,8.951764678666641e-14,7.474942489767972e-14,7.474942489767994e-14,0.0,0.05,0.95,1,1,0.05,0.0,0.0,0.0,0.0,False,False,False,1.1363636363636396,True,True
0,5,3,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70003,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1820944282382187e-11,9.867129771001585e-12,6.578086514001057e-14,7.475098311364838e-14,8.955260819986506e-14,7.475098311364838e-14,7.475098311364819e-14,0.0,0.04,0.96,1,1,0.04,0.0,0.0,0.0,0.0,False,False,False,1.1363636363636336,True,True
0,5,4,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70004,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.181728636582002e-11,9.866157498893215e-12,6.577438332595477e-14,7.474361741585769e-14,8.952489671075773e-14,7.474361741585769e-14,7.474361741585757e-14,0.0,0.02,0.98,1,1,0.02,0.0,0.0,0.0,0.0,False,False,False,1.1363636363636345,True,True
0,5,5,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70005,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1816885490375566e-11,9.866523001662765e-12,6.57768200110851e-14,7.474638637623308e-14,8.952185977557247e-14,7.474638637623308e-14,7.474638637623299e-14,0.0,0.04,0.96,1,1,0.04,0.0,0.0,0.0,0.0,False,False,False,1.1363636363636351,True,True
0,5,6,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70006,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1816292583587473e-11,9.866462198864275e-12,6.577641465909517e-14,7.474592574897179e-14,8.951736805748086e-14,7.474592574897179e-14,7.474592574897162e-14,0.0,0.05,0.95,1,1,0.05,0.0,0.0,0.0,0.0,False,False,False,1.136363636363634,True,True
0,5,7,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70007,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1817766045591385e-11,9.866183081554904e-12,6.57745538770327e-14,7.474381122390078e-14,8.952853064841958e-14,7.474381122390078e-14,7.474381122390057e-14,0.0,0.05,0.95,1,1,0.05,0.0,0.0,0.0,0.0,False,False,False,1.136363636363633,True,True
0,5,8,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70008,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1817946346417923e-11,9.866145844514161e-12,6.577430563009441e-14,7.474352912510728e-14,8.952989656377215e-14,7.474352912510728e-14,7.474352912510754e-14,0.0,0.025,0.975,1,1,0.025,0.0,0.0,0.0,0.0,False,False,False,1.1363636363636402,True,True
0,5,9,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70009,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1819115630748123e-11,9.866949695581971e-12,6.577966463721313e-14,7.474961890592402e-14,8.953875477839488e-14,7.474961890592402e-14,7.47496189059238e-14,0.0,0.035,0.965,1,1,0.035,0.0,0.0,0.0,0.0,False,False,False,1.1363636363636331,True,True
0,5,10,1e-06,160,16,primary,sample_variance,0.3333333333333333,52000,70010,kp1,k,6,6,5,5,12,10,12,2,150,132,True,1.1363636363636365,0.88,1.1816716155372807e-11,3.9425864175607216e-11,2.628390945040481e-13,2.986807892091456e-13,8.952057693464248e-14,8.952057693464248e-14,1.4285643106464075e-13,0.745,0.015,0.24,-1,-1,0.745,0.0,0.255,0.745,0.0,False,True,True,0.5435128717598005,False,True
